"model","em","variable","sector","harm_status"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Agriculture|Harmonized","Agriculture","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Harmonized","Agricultural Waste Burning","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized","Forest Burning","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized","Grassland Burning","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Harmonized","Peat Burning","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized","Industrial Sector","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Harmonized","Residential Commercial Other","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized","Aircraft","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Harmonized","Transportation Sector","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized","International Shipping","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized","Energy Sector","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Solvents Production and Application|Harmonized","Solvents Production and Application","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Waste|Harmonized","Waste","Harmonized"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Agriculture|Harmonized-DB","Agriculture","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Harmonized-DB","Agricultural Waste Burning","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized-DB","Forest Burning","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized-DB","Grassland Burning","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Harmonized-DB","Peat Burning","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized-DB","Industrial Sector","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Harmonized-DB","Residential Commercial Other","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized-DB","Aircraft","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Harmonized-DB","Transportation Sector","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized-DB","International Shipping","Harmonized-DB"
"MESSAGE-GLOBIOM","BC","CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized-DB","Energy Sector","Harmonized-DB"
