iso,country_name,region,region_name
srb,Serbia,XER,Rest of Europe
stp,Sao Tome and Principe,XAF,Other Africa
sur,Suriname,XLM,Rest of Brazil
svk,Slovakia,XE25,EU
svn,Slovenia,XE25,EU
swe,Sweden,XE25,EU
swz,Swaziland,XAF,Other Africa
syc,Seychelles,XAF,Other Africa
syr,Syrian Arab Republic,XME,Middle East
tca,Turks and Caicos,XLM,Rest of Brazil
tcd,Chad,XAF,Other Africa
tgo,Togo,XAF,Other Africa
tha,Thailand,XSE,Rest of East and South East Asia
tjk,Tajikistan,CIS,Former USSR
tkl,Tokelau,XSA,Rest of Asia
tkm,Turkmenistan,CIS,Former USSR
tls,Timor Leste,XSE,Rest of East and South East Asia
ton,Tonga,XSA,Rest of Asia
tto,Trinidad and Tobago,XLM,Rest of Brazil
tun,Tunisia,XNF,North Africa
tur,Turkey,TUR,Turkey
twn,Taiwan,XSE,Rest of East and South East Asia
tza,"Tanzania, United Republic of",XAF,Other Africa
uga,Uganda,XAF,Other Africa
ukr,Ukraine,CIS,Former USSR
ury,Uruguay,XLM,Rest of Brazil
usa,United States of America,USA,USA
uzb,Uzbekistan,CIS,Former USSR
vct,Saint Vincent and the Grenadines,XLM,Rest of Brazil
ven,Venezuela,XLM,Rest of Brazil
vgb,"Virgin Islands, British",XLM,Rest of Brazil
vir,"Virgin Islands, U.S.",XLM,Rest of Brazil
vnm,Viet Nam,XSE,Rest of East and South East Asia
vut,Vanuatu,XSA,Rest of Asia
wlf,Wallis and Futuna,XSA,Rest of Asia
wsm,Samoa,XSA,Rest of Asia
yem,Yemen,XME,Middle East
zaf,South Africa,XAF,Other Africa
zmb,Zambia,XAF,Other Africa
zwe,Zimbabwe,XAF,Other Africa
cuw,Curacao,XLM,Rest of Brazil
srb (kosovo),Kosovo,XER,Rest of Europe
ssd,South Sudan,XAF,Other Africa
sxm,Sint Maarten,XLM,Rest of Brazil
