variable,type
Final Energy|Residential and Commercial|Solids,proxy
Primary Energy|Fossil,proxy
Primary Energy|Oil,proxy
Emissions|BC,emission
Emissions|BC|AFOLU,emission
Emissions|BC|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|BC|AFOLU|Agriculture,emission
Emissions|BC|AFOLU|Agriculture|Livestock,emission
Emissions|BC|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|BC|AFOLU|Agriculture|Rice,emission
Emissions|BC|AFOLU|Biomass Burning,emission
Emissions|BC|AFOLU|Land,emission
Emissions|BC|AFOLU|Land|Forest Burning,emission
Emissions|BC|AFOLU|Land|Grassland Burning,emission
Emissions|BC|Aggregate - Fossil Fuels and Industry,emission
Emissions|BC|Energy,emission
Emissions|BC|Energy|Demand,emission
Emissions|BC|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|BC|Energy|Demand|Commercial,emission
Emissions|BC|Energy|Demand|Industry,emission
Emissions|BC|Energy|Demand|Residential,emission
Emissions|BC|Energy|Demand|Transportation,emission
Emissions|BC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|BC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|BC|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|BC|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|BC|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|BC|Energy|Demand|Transportation|Rail,emission
Emissions|BC|Energy|Demand|Transportation|Road,emission
Emissions|BC|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|BC|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|BC|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|BC|Energy|Other,emission
Emissions|BC|Energy|Supply,emission
Emissions|BC|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|BC|Energy|Supply|Electricity,emission
Emissions|BC|Energy|Supply|Gases,emission
Emissions|BC|Energy|Supply|Heat,emission
Emissions|BC|Energy|Supply|Liquids,emission
Emissions|BC|Energy|Supply|Other,emission
Emissions|BC|Energy|Supply|Solids,emission
Emissions|BC|Industrial Processes,emission
Emissions|BC|Other,emission
Emissions|BC|Product Use|Solvents,emission
Emissions|BC|Waste,emission
Emissions|CO,emission
Emissions|CO|AFOLU,emission
Emissions|CO|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|CO|AFOLU|Agriculture,emission
Emissions|CO|AFOLU|Agriculture|Livestock,emission
Emissions|CO|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|CO|AFOLU|Agriculture|Rice,emission
Emissions|CO|AFOLU|Biomass Burning,emission
Emissions|CO|AFOLU|Land,emission
Emissions|CO|AFOLU|Land|Forest Burning,emission
Emissions|CO|AFOLU|Land|Grassland Burning,emission
Emissions|CO|Aggregate - Fossil Fuels and Industry,emission
Emissions|CO|Energy,emission
Emissions|CO|Energy|Demand,emission
Emissions|CO|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|CO|Energy|Demand|Commercial,emission
Emissions|CO|Energy|Demand|Industry,emission
Emissions|CO|Energy|Demand|Residential,emission
Emissions|CO|Energy|Demand|Transportation,emission
Emissions|CO|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|CO|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|CO|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|CO|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|CO|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|CO|Energy|Demand|Transportation|Rail,emission
Emissions|CO|Energy|Demand|Transportation|Road,emission
Emissions|CO|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|CO|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|CO|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|CO|Energy|Other,emission
Emissions|CO|Energy|Supply,emission
Emissions|CO|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|CO|Energy|Supply|Electricity,emission
Emissions|CO|Energy|Supply|Gases,emission
Emissions|CO|Energy|Supply|Heat,emission
Emissions|CO|Energy|Supply|Liquids,emission
Emissions|CO|Energy|Supply|Other,emission
Emissions|CO|Energy|Supply|Solids,emission
Emissions|CO|Industrial Processes,emission
Emissions|CO|Other,emission
Emissions|CO|Product Use|Solvents,emission
Emissions|CO|Waste,emission
Emissions|NH3,emission
Emissions|NH3|AFOLU,emission
Emissions|NH3|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|NH3|AFOLU|Agriculture,emission
Emissions|NH3|AFOLU|Agriculture|Livestock,emission
Emissions|NH3|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|NH3|AFOLU|Agriculture|Rice,emission
Emissions|NH3|AFOLU|Biomass Burning,emission
Emissions|NH3|AFOLU|Land,emission
Emissions|NH3|AFOLU|Land|Forest Burning,emission
Emissions|NH3|AFOLU|Land|Grassland Burning,emission
Emissions|NH3|Aggregate - Fossil Fuels and Industry,emission
Emissions|NH3|Energy,emission
Emissions|NH3|Energy|Demand,emission
Emissions|NH3|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|NH3|Energy|Demand|Commercial,emission
Emissions|NH3|Energy|Demand|Industry,emission
Emissions|NH3|Energy|Demand|Other Sector,emission
Emissions|NH3|Energy|Demand|Residential,emission
Emissions|NH3|Energy|Demand|Transportation,emission
Emissions|NH3|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|NH3|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|NH3|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|NH3|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|NH3|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|NH3|Energy|Demand|Transportation|Rail,emission
Emissions|NH3|Energy|Demand|Transportation|Road,emission
Emissions|NH3|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|NH3|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|NH3|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|NH3|Energy|Other,emission
Emissions|NH3|Energy|Supply,emission
Emissions|NH3|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|NH3|Energy|Supply|Electricity,emission
Emissions|NH3|Energy|Supply|Gases,emission
