variable,type
Emissions|NH3|Energy|Supply|Heat,emission
Emissions|NH3|Energy|Supply|Liquids,emission
Emissions|NH3|Energy|Supply|Other,emission
Emissions|NH3|Energy|Supply|Solids,emission
Emissions|NH3|Industrial Processes,emission
Emissions|NH3|Other,emission
Emissions|NH3|Product Use|Solvents,emission
Emissions|NH3|Waste,emission
Emissions|NOx,emission
Emissions|NOx|AFOLU,emission
Emissions|NOx|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|NOx|AFOLU|Agriculture,emission
Emissions|NOx|AFOLU|Agriculture|Livestock,emission
Emissions|NOx|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|NOx|AFOLU|Agriculture|Rice,emission
Emissions|NOx|AFOLU|Biomass Burning,emission
Emissions|NOx|AFOLU|Land,emission
Emissions|NOx|AFOLU|Land|Forest Burning,emission
Emissions|NOx|AFOLU|Land|Grassland Burning,emission
Emissions|NOx|Aggregate - Fossil Fuels and Industry,emission
Emissions|NOx|Energy,emission
Emissions|NOx|Energy|Demand,emission
Emissions|NOx|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|NOx|Energy|Demand|Commercial,emission
Emissions|NOx|Energy|Demand|Industry,emission
Emissions|NOx|Energy|Demand|Other Sector,emission
Emissions|NOx|Energy|Demand|Residential,emission
Emissions|NOx|Energy|Demand|Transportation,emission
Emissions|NOx|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|NOx|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|NOx|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|NOx|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|NOx|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|NOx|Energy|Demand|Transportation|Rail,emission
Emissions|NOx|Energy|Demand|Transportation|Road,emission
Emissions|NOx|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|NOx|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|NOx|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|NOx|Energy|Other,emission
Emissions|NOx|Energy|Supply,emission
Emissions|NOx|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|NOx|Energy|Supply|Electricity,emission
Emissions|NOx|Energy|Supply|Gases,emission
Emissions|NOx|Energy|Supply|Heat,emission
Emissions|NOx|Energy|Supply|Liquids,emission
Emissions|NOx|Energy|Supply|Other,emission
Emissions|NOx|Energy|Supply|Solids,emission
Emissions|NOx|Industrial Processes,emission
Emissions|NOx|Other,emission
Emissions|NOx|Product Use|Solvents,emission
Emissions|NOx|Waste,emission
Emissions|OC,emission
Emissions|OC|AFOLU,emission
Emissions|OC|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|OC|AFOLU|Agriculture,emission
Emissions|OC|AFOLU|Agriculture|Livestock,emission
Emissions|OC|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|OC|AFOLU|Agriculture|Rice,emission
Emissions|OC|AFOLU|Biomass Burning,emission
Emissions|OC|AFOLU|Land,emission
Emissions|OC|AFOLU|Land|Forest Burning,emission
Emissions|OC|AFOLU|Land|Grassland Burning,emission
Emissions|OC|Aggregate - Fossil Fuels and Industry,emission
Emissions|OC|Energy,emission
Emissions|OC|Energy|Demand,emission
Emissions|OC|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|OC|Energy|Demand|Commercial,emission
Emissions|OC|Energy|Demand|Industry,emission
Emissions|OC|Energy|Demand|Other Sector,emission
Emissions|OC|Energy|Demand|Residential,emission
Emissions|OC|Energy|Demand|Transportation,emission
Emissions|OC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|OC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|OC|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|OC|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|OC|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|OC|Energy|Demand|Transportation|Rail,emission
Emissions|OC|Energy|Demand|Transportation|Road,emission
Emissions|OC|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|OC|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|OC|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|OC|Energy|Other,emission
Emissions|OC|Energy|Supply,emission
Emissions|OC|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|OC|Energy|Supply|Electricity,emission
Emissions|OC|Energy|Supply|Gases,emission
Emissions|OC|Energy|Supply|Heat,emission
Emissions|OC|Energy|Supply|Liquids,emission
Emissions|OC|Energy|Supply|Other,emission
Emissions|OC|Energy|Supply|Solids,emission
Emissions|OC|Industrial Processes,emission
Emissions|OC|Other,emission
Emissions|OC|Product Use|Solvents,emission
Emissions|OC|Waste,emission
Emissions|Sulfur,emission
Emissions|Sulfur|AFOLU,emission
Emissions|Sulfur|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|Sulfur|AFOLU|Agriculture,emission
Emissions|Sulfur|AFOLU|Agriculture|Livestock,emission
Emissions|Sulfur|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|Sulfur|AFOLU|Agriculture|Rice,emission
Emissions|Sulfur|AFOLU|Biomass Burning,emission
Emissions|Sulfur|AFOLU|Land,emission
Emissions|Sulfur|AFOLU|Land|Forest Burning,emission
Emissions|Sulfur|AFOLU|Land|Grassland Burning,emission
Emissions|Sulfur|Aggregate - Fossil Fuels and Industry,emission
Emissions|Sulfur|Energy,emission
Emissions|Sulfur|Energy|Demand,emission
Emissions|Sulfur|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|Sulfur|Energy|Demand|Commercial,emission
Emissions|Sulfur|Energy|Demand|Industry,emission
Emissions|Sulfur|Energy|Demand|Other Sector,emission
Emissions|Sulfur|Energy|Demand|Residential,emission
Emissions|Sulfur|Energy|Demand|Transportation,emission
Emissions|Sulfur|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|Sulfur|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|Sulfur|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|Sulfur|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|Sulfur|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|Sulfur|Energy|Demand|Transportation|Rail,emission
Emissions|Sulfur|Energy|Demand|Transportation|Road,emission
Emissions|Sulfur|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|Sulfur|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|Sulfur|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|Sulfur|Energy|Other,emission
Emissions|Sulfur|Energy|Supply,emission
Emissions|Sulfur|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|Sulfur|Energy|Supply|Electricity,emission
Emissions|Sulfur|Energy|Supply|Gases,emission
Emissions|Sulfur|Energy|Supply|Heat,emission
Emissions|Sulfur|Energy|Supply|Liquids,emission
Emissions|Sulfur|Energy|Supply|Other,emission
Emissions|Sulfur|Energy|Supply|Solids,emission
Emissions|Sulfur|Industrial Processes,emission
Emissions|Sulfur|Other,emission
Emissions|Sulfur|Product Use|Solvents,emission
Emissions|Sulfur|Waste,emission
Emissions|VOC,emission
Emissions|VOC|AFOLU,emission
Emissions|VOC|AFOLU|Aggregate - Agriculture and Biomass Burning,emission
Emissions|VOC|AFOLU|Agriculture,emission
Emissions|VOC|AFOLU|Agriculture|Livestock,emission
Emissions|VOC|AFOLU|Agriculture|Livestock|Enteric Fermentation,emission
Emissions|VOC|AFOLU|Agriculture|Rice,emission
Emissions|VOC|AFOLU|Biomass Burning,emission
Emissions|VOC|AFOLU|Land,emission
Emissions|VOC|AFOLU|Land|Forest Burning,emission
Emissions|VOC|AFOLU|Land|Grassland Burning,emission
Emissions|VOC|Aggregate - Fossil Fuels and Industry,emission
Emissions|VOC|Energy,emission
Emissions|VOC|Energy|Demand,emission
Emissions|VOC|Energy|Demand|Aggregate - Residential and Commercial,emission
Emissions|VOC|Energy|Demand|Commercial,emission
Emissions|VOC|Energy|Demand|Industry,emission
Emissions|VOC|Energy|Demand|Other Sector,emission
Emissions|VOC|Energy|Demand|Residential,emission
Emissions|VOC|Energy|Demand|Transportation,emission
Emissions|VOC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,emission
Emissions|VOC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,emission
Emissions|VOC|Energy|Demand|Transportation|Aviation,air_shp_emissions
Emissions|VOC|Energy|Demand|Transportation|Aviation|Domestic,air_shp_emissions
Emissions|VOC|Energy|Demand|Transportation|Aviation|International,air_shp_emissions
Emissions|VOC|Energy|Demand|Transportation|Rail,emission
Emissions|VOC|Energy|Demand|Transportation|Road,emission
Emissions|VOC|Energy|Demand|Transportation|Shipping,air_shp_emissions
Emissions|VOC|Energy|Demand|Transportation|Shipping|Domestic,emission
Emissions|VOC|Energy|Demand|Transportation|Shipping|International,air_shp_emissions
Emissions|VOC|Energy|Other,emission
Emissions|VOC|Energy|Supply,emission
Emissions|VOC|Energy|Supply|Aggregate - Electricity and Heat,emission
Emissions|VOC|Energy|Supply|Electricity,emission
Emissions|VOC|Energy|Supply|Gases,emission
Emissions|VOC|Energy|Supply|Heat,emission
Emissions|VOC|Energy|Supply|Liquids,emission
Emissions|VOC|Energy|Supply|Other,emission
Emissions|VOC|Energy|Supply|Solids,emission
Emissions|VOC|Industrial Processes,emission
Emissions|VOC|Other,emission
Emissions|VOC|Product Use|Solvents,emission
Emissions|VOC|Waste,emission
