model,em,variable,sector,harm_status
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agriculture|Harmonized,Agriculture,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Harmonized,Agricultural Waste Burning,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized,Forest Burning,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized,Grassland Burning,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Harmonized,Peat Burning,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized,Industrial Sector,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Harmonized,Residential Commercial Other,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized,Aircraft,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Harmonized,Transportation Sector,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized,International Shipping,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized,Energy Sector,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Solvents Production and Application|Harmonized,Solvents Production and Application,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Waste|Harmonized,Waste,Harmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agriculture|Harmonized-DB,Agriculture,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Harmonized-DB,Agricultural Waste Burning,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized-DB,Forest Burning,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized-DB,Grassland Burning,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Harmonized-DB,Peat Burning,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized-DB,Industrial Sector,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Harmonized-DB,Residential Commercial Other,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized-DB,Aircraft,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Harmonized-DB,Transportation Sector,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized-DB,International Shipping,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized-DB,Energy Sector,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Solvents Production and Application|Harmonized-DB,Solvents Production and Application,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Waste|Harmonized-DB,Waste,Harmonized-DB
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agriculture|Unharmonized,Agriculture,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Unharmonized,Agricultural Waste Burning,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Unharmonized,Forest Burning,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Unharmonized,Grassland Burning,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Unharmonized,Peat Burning,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Unharmonized,Industrial Sector,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Unharmonized,Residential Commercial Other,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Unharmonized,Aircraft,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Unharmonized,Transportation Sector,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Unharmonized,International Shipping,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Unharmonized,Energy Sector,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Solvents Production and Application|Unharmonized,Solvents Production and Application,Unharmonized
AIM,BC,CEDS+|9+ Sectors|Emissions|BC|Waste|Unharmonized,Waste,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Harmonized,Agriculture,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agricultural Waste Burning|Harmonized,Agricultural Waste Burning,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Harmonized,Forest Burning,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Harmonized,Grassland Burning,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Peat Burning|Harmonized,Peat Burning,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Harmonized,Industrial Sector,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Residential Commercial Other|Harmonized,Residential Commercial Other,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Harmonized,Aircraft,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Transportation Sector|Harmonized,Transportation Sector,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|International Shipping|Harmonized,International Shipping,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Harmonized,Energy Sector,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Solvents Production and Application|Harmonized,Solvents Production and Application,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Waste|Harmonized,Waste,Harmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Harmonized-DB,Agriculture,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agricultural Waste Burning|Harmonized-DB,Agricultural Waste Burning,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Harmonized-DB,Forest Burning,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Harmonized-DB,Grassland Burning,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Peat Burning|Harmonized-DB,Peat Burning,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Harmonized-DB,Industrial Sector,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Residential Commercial Other|Harmonized-DB,Residential Commercial Other,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Harmonized-DB,Aircraft,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Transportation Sector|Harmonized-DB,Transportation Sector,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|International Shipping|Harmonized-DB,International Shipping,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Harmonized-DB,Energy Sector,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Solvents Production and Application|Harmonized-DB,Solvents Production and Application,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Waste|Harmonized-DB,Waste,Harmonized-DB
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Unharmonized,Agriculture,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Agricultural Waste Burning|Unharmonized,Agricultural Waste Burning,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Unharmonized,Forest Burning,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Unharmonized,Grassland Burning,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Peat Burning|Unharmonized,Peat Burning,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Unharmonized,Industrial Sector,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Residential Commercial Other|Unharmonized,Residential Commercial Other,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Unharmonized,Aircraft,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Transportation Sector|Unharmonized,Transportation Sector,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|International Shipping|Unharmonized,International Shipping,Unharmonized
AIM,CH4,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Unharmonized,Energy Sector,Unharmonized
