IAMC,sector
CEDS+|16+ Sectors|Emissions|XXX|Agriculture,Agriculture
CEDS+|16+ Sectors|Emissions|XXX|Agricultural Waste Burning,Agricultural Waste Burning
CEDS+|16+ Sectors|Emissions|XXX|Forest Burning,Forest Burning
CEDS+|16+ Sectors|Emissions|XXX|Grassland Burning,Grassland Burning
CEDS+|16+ Sectors|Emissions|XXX|Peat Burning,Peat Burning
CEDS+|16+ Sectors|Emissions|XXX|Residential Commercial Other - Residential Commercial,Residential Commercial Other - Residential Commercial
CEDS+|16+ Sectors|Emissions|XXX|Industrial Combustion,Industrial Combustion
CEDS+|16+ Sectors|Emissions|XXX|Residential Commercial Other - Other,Residential Commercial Other - Other
CEDS+|16+ Sectors|Emissions|XXX|Aircraft,Aircraft
CEDS+|16+ Sectors|Emissions|XXX|Road Transportation,Road Transportation
CEDS+|16+ Sectors|Emissions|XXX|Non-Road Transportation,Non-Road Transportation
CEDS+|16+ Sectors|Emissions|XXX|International Shipping - Tanker Loading,International Shipping
CEDS+|16+ Sectors|Emissions|XXX|International Shipping,International Shipping - Tanker Loading
CEDS+|16+ Sectors|Emissions|XXX|Electricity and Heat Production,Electricity and Heat Production
CEDS+|16+ Sectors|Emissions|XXX|Fuel Production and Transformation,Fuel Production and Transformation
CEDS+|16+ Sectors|Emissions|XXX|Other Fugitive/Flaring,Other Fugitive/Flaring
CEDS+|16+ Sectors|Emissions|XXX|Oil and Gas Fugitive/Flaring,Oil and Gas Fugitive/Flaring
CEDS+|16+ Sectors|Emissions|XXX|Fossil Fuel Fires,Fossil Fuel Fires
CEDS+|16+ Sectors|Emissions|XXX|Industrial Process and Product Use,Industrial Process and Product Use
CEDS+|16+ Sectors|Emissions|XXX|Solvents Production and Application,Solvents Production and Application
CEDS+|16+ Sectors|Emissions|XXX|Waste,Waste
