IAMC,sector
CEDS+|9+ Sectors|Emissions|XXX|Agriculture,Agriculture
CEDS+|9+ Sectors|Emissions|XXX|Agricultural Waste Burning,Agricultural Waste Burning
CEDS+|9+ Sectors|Emissions|XXX|Forest Burning,Forest Burning
CEDS+|9+ Sectors|Emissions|XXX|Grassland Burning,Grassland Burning
CEDS+|9+ Sectors|Emissions|XXX|Peat Burning,Peat Burning
CEDS+|9+ Sectors|Emissions|XXX|Industrial Sector,Industrial Sector
CEDS+|9+ Sectors|Emissions|XXX|Residential Commercial Other,Residential Commercial Other
CEDS+|9+ Sectors|Emissions|XXX|Aircraft,Aircraft
CEDS+|9+ Sectors|Emissions|XXX|Transportation Sector,Transportation Sector
CEDS+|9+ Sectors|Emissions|XXX|International Shipping,International Shipping
CEDS+|9+ Sectors|Emissions|XXX|Energy Sector,Energy Sector
CEDS+|9+ Sectors|Emissions|XXX|Solvents Production and Application,Solvents Production and Application
CEDS+|9+ Sectors|Emissions|XXX|Waste,Waste
