iso,country_name,region,R5
abw,Aruba,LAM,R5LAM
afg,Afghanistan,SAS,R5ASIA
ago,Angola,AFR,R5MAF
alb,Albania,EEU,R5OECD
are,United Arab Emirates,MEA,R5MAF
arg,Argentina,LAM,R5LAM
arm,Armenia,FSU,R5REF
asm,American Samoa,PAS,R5ASIA
atg,Antigua & Barbuda,LAM,R5LAM
aus,Australia,PAO,R5OECD
aut,Austria,WEU,R5OECD
aze,Azerbaijan,FSU,R5REF
bdi,Burundi,AFR,R5MAF
bel,Belgium,WEU,R5OECD
ben,Benin,AFR,R5MAF
bfa,Burkina Faso,AFR,R5MAF
bgd,Bangladesh,SAS,R5ASIA
bgr,Bulgaria,EEU,R5OECD
bhr,Bahrain,MEA,R5MAF
bhs,Bahamas,LAM,R5LAM
bih,Bosnia and Herzegovina,EEU,R5OECD
blr,Belarus,FSU,R5REF
blz,Belize,LAM,R5LAM
bmu,Bermuda,LAM,R5LAM
bol,Bolivia,LAM,R5LAM
bra,Brazil,LAM,R5LAM
brb,Barbados,LAM,R5LAM
brn,Brunei Darussalam,PAS,R5ASIA
btn,Bhutan,SAS,R5ASIA
bwa,Botswana,AFR,R5MAF
caf,Central African Republic,AFR,R5MAF
can,Canada,NAM,R5OECD
che,Switzerland,WEU,R5OECD
chl,Chile,LAM,R5LAM
chn,China,CPA,R5ASIA
civ,Cote dIvoire,AFR,R5MAF
cmr,Cameroon,AFR,R5MAF
cod,"Congo, the Democratic Republic of the",AFR,R5MAF
cog,Congo,AFR,R5MAF
cok,Cook Islands,PAS,R5ASIA
col,Colombia,LAM,R5LAM
com,Comoros,AFR,R5MAF
cpv,Cape Verde,AFR,R5MAF
cri,Costa Rica,LAM,R5LAM
cub,Cuba,LAM,R5LAM
cym,Cayman Islands,LAM,R5LAM
cyp,Cyprus,WEU,R5OECD
cze,Czech Republic,EEU,R5OECD
deu,Germany,WEU,R5OECD
dji,Djibouti,AFR,R5MAF
dma,Dominica,LAM,R5LAM
dnk,Denmark,WEU,R5OECD
dom,Dominican Republic,LAM,R5LAM
dza,Algeria,MEA,R5MAF
ecu,Ecuador,LAM,R5LAM
egy,Egypt,MEA,R5MAF
eri,Eritrea,AFR,R5MAF
esh,Western Sahara,AFR,R5MAF
esp,Spain,WEU,R5OECD
est,Estonia,EEU,R5OECD
eth,Ethiopia,AFR,R5MAF
fin,Finland,WEU,R5OECD
fji,Fiji,PAS,R5ASIA
flk,Falkland Islands (Malvinas),LAM,R5LAM
fra,France,WEU,R5OECD
fro,Faroe Islands,WEU,R5OECD
fsm,"Micronesia, Federated States of",PAS,R5ASIA
gab,Gabon,AFR,R5MAF
gbr,United Kingdom,WEU,R5OECD
geo,Georgia,FSU,R5REF
gha,Ghana,AFR,R5MAF
gib,Gibraltar,WEU,R5OECD
gin,Guinea,AFR,R5MAF
glp,Guadeloupe,LAM,R5LAM
gmb,Gambia,AFR,R5MAF
gnb,Guinea-Bissau,AFR,R5MAF
gnq,Equatorial Guinea,AFR,R5MAF
