model,variable,CEDS9,em,harm_status
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Agricultural Waste Burning|Unharmonized,Agricultural Waste Burning,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Agricultural Waste Burning|Harmonized,Agricultural Waste Burning,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Agricultural Waste Burning|Harmonized-DB,Agricultural Waste Burning,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Agricultural Waste Burning|Unharmonized,Agricultural Waste Burning,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Agricultural Waste Burning|Harmonized,Agricultural Waste Burning,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Agricultural Waste Burning|Harmonized-DB,Agricultural Waste Burning,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Agricultural Waste Burning|Unharmonized,Agricultural Waste Burning,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Agriculture|Harmonized,Agriculture,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Agriculture|Unharmonized,Agriculture,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Harmonized,Agriculture,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Harmonized-DB,Agriculture,CH4,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Unharmonized,Agriculture,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Agriculture|Harmonized,Agriculture,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Agriculture|Unharmonized,Agriculture,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Agriculture|Harmonized,Agriculture,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Agriculture|Unharmonized,Agriculture,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Agriculture|Harmonized,Agriculture,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Agriculture|Harmonized-DB,Agriculture,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Agriculture|Unharmonized,Agriculture,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Agriculture|Harmonized,Agriculture,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Agriculture|Harmonized-DB,Agriculture,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Agriculture|Unharmonized,Agriculture,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Agriculture|Harmonized,Agriculture,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Agriculture|Unharmonized,Agriculture,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Agriculture|Harmonized,Agriculture,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Agriculture|Unharmonized,Agriculture,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Agriculture|Harmonized,Agriculture,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Agriculture|Unharmonized,Agriculture,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized,Aircraft,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Harmonized-DB,Aircraft,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Aircraft|Unharmonized,Aircraft,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Harmonized,Aircraft,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Unharmonized,Aircraft,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Aircraft|Harmonized,Aircraft,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Aircraft|Harmonized-DB,Aircraft,CO,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Aircraft|Unharmonized,Aircraft,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aircraft|Harmonized,Aircraft,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aircraft|Harmonized-DB,Aircraft,CO2,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aircraft|Unharmonized,Aircraft,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Aircraft|Harmonized,Aircraft,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Aircraft|Harmonized-DB,Aircraft,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Aircraft|Unharmonized,Aircraft,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Aircraft|Harmonized,Aircraft,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Aircraft|Harmonized-DB,Aircraft,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Aircraft|Unharmonized,Aircraft,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Aircraft|Harmonized,Aircraft,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Aircraft|Harmonized-DB,Aircraft,OC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Aircraft|Unharmonized,Aircraft,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Aircraft|Harmonized,Aircraft,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Aircraft|Harmonized-DB,Aircraft,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Aircraft|Unharmonized,Aircraft,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Aircraft|Harmonized,Aircraft,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Aircraft|Harmonized-DB,Aircraft,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Aircraft|Unharmonized,Aircraft,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized,Energy Sector,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Harmonized-DB,Energy Sector,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Unharmonized,Energy Sector,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Harmonized,Energy Sector,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Harmonized-DB,Energy Sector,CH4,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Unharmonized,Energy Sector,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Energy Sector|Harmonized,Energy Sector,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Energy Sector|Harmonized-DB,Energy Sector,CO,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Energy Sector|Unharmonized,Energy Sector,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Energy Sector|Harmonized,Energy Sector,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Energy Sector|Harmonized-DB,Energy Sector,CO2,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Energy Sector|Unharmonized,Energy Sector,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Energy Sector|Harmonized,Energy Sector,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Energy Sector|Harmonized-DB,Energy Sector,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Energy Sector|Unharmonized,Energy Sector,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Energy Sector|Harmonized,Energy Sector,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Energy Sector|Harmonized-DB,Energy Sector,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Energy Sector|Unharmonized,Energy Sector,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Energy Sector|Harmonized,Energy Sector,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Energy Sector|Harmonized-DB,Energy Sector,OC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Energy Sector|Unharmonized,Energy Sector,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Energy Sector|Harmonized,Energy Sector,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Energy Sector|Harmonized-DB,Energy Sector,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Energy Sector|Unharmonized,Energy Sector,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Energy Sector|Harmonized,Energy Sector,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Energy Sector|Harmonized-DB,Energy Sector,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Energy Sector|Unharmonized,Energy Sector,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized,Forest Burning,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Harmonized-DB,Forest Burning,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Unharmonized,Forest Burning,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Harmonized,Forest Burning,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Harmonized-DB,Forest Burning,CH4,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Unharmonized,Forest Burning,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Forest Burning|Harmonized,Forest Burning,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Forest Burning|Harmonized-DB,Forest Burning,CO,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Forest Burning|Unharmonized,Forest Burning,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Forest Burning|Harmonized,Forest Burning,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Forest Burning|Unharmonized,Forest Burning,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Forest Burning|Harmonized,Forest Burning,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Forest Burning|Harmonized-DB,Forest Burning,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Forest Burning|Unharmonized,Forest Burning,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Forest Burning|Harmonized,Forest Burning,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Forest Burning|Harmonized-DB,Forest Burning,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Forest Burning|Unharmonized,Forest Burning,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Forest Burning|Harmonized,Forest Burning,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Forest Burning|Harmonized-DB,Forest Burning,OC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Forest Burning|Unharmonized,Forest Burning,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Forest Burning|Harmonized,Forest Burning,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Forest Burning|Harmonized-DB,Forest Burning,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Forest Burning|Unharmonized,Forest Burning,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Forest Burning|Harmonized,Forest Burning,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Forest Burning|Harmonized-DB,Forest Burning,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Forest Burning|Unharmonized,Forest Burning,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized,Grassland Burning,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Harmonized-DB,Grassland Burning,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Unharmonized,Grassland Burning,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Harmonized,Grassland Burning,CH4,Harmonized
