"model","scenario","iso","variable","unit","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
"IIASA-WiC POP","SSP3","bhs","Population","million",0.342877,0.3473852648,0.3518935296,0.3564017944,0.3609100592,0.365418324,0.3697763842,0.3741344444,0.3784925046,0.3828505648,0.387208625,0.3911157836,0.3950229422,0.3989301008,0.4028372594,0.406744418,0.41037736,0.414010302,0.417643244,0.421276186,0.424909128,0.428077721,0.431246314,0.434414907,0.4375835,0.440752093,0.4434996996,0.4462473062,0.4489949128,0.4517425194,0.454490126,0.4570191326,0.4595481392,0.4620771458,0.4646061524,0.467135159,0.4696435292,0.4721518994,0.4746602696,0.4771686398,0.47967701,0.4821927896,0.4847085692,0.4872243488,0.4897401284,0.492255908,0.49466781,0.497079712,0.499491614,0.501903516,0.504315418,0.5064907192,0.5086660204,0.5108413216,0.5130166228,0.515191924,0.517156408,0.519120892,0.521085376,0.52304986,0.525014344,0.5269162572,0.5288181704,0.5307200836,0.5326219968,0.53452391,0.536471514,0.538419118,0.540366722,0.542314326,0.54426193,0.5463695868,0.5484772436,0.5505849004,0.5526925572,0.554800214,0.5570616462,0.5593230784,0.5615845106,0.5638459428,0.566107375,0.5683938712,0.5706803674,0.5729668636,0.5752533598,0.577539856,0.5797195686,0.5818992812,0.5840789938,0.5862587064,0.588438419
"IIASA-WiC POP","SSP3","guf","Population","million",0.23115099,0.2367589494,0.2423669088,0.2479748682,0.2535828276,0.259190787,0.2649149712,0.2706391554,0.2763633396,0.2820875238,0.287811708,0.293568412,0.299325116,0.30508182,0.310838524,0.316595228,0.3223859038,0.3281765796,0.3339672554,0.3397579312,0.345548607,0.3510939464,0.3566392858,0.3621846252,0.3677299646,0.373275304,0.3786072872,0.3839392704,0.3892712536,0.3946032368,0.39993522,0.405174067,0.410412914,0.415651761,0.420890608,0.426129455,0.4314256684,0.4367218818,0.4420180952,0.4473143086,0.452610522,0.4579550488,0.4632995756,0.4686441024,0.4739886292,0.479333156,0.4846533514,0.4899735468,0.4952937422,0.5006139376,0.505934133,0.5111401778,0.5163462226,0.5215522674,0.5267583122,0.531964357,0.5370588936,0.5421534302,0.5472479668,0.5523425034,0.55743704,0.5624740414,0.5675110428,0.5725480442,0.5775850456,0.582622047,0.5876197184,0.5926173898,0.5976150612,0.6026127326,0.607610404,0.6125216078,0.6174328116,0.6223440154,0.6272552192,0.632166423,0.6369306334,0.6416948438,0.6464590542,0.6512232646,0.655987475,0.660588377,0.665189279,0.669790181,0.674391083,0.678991985,0.6834629514,0.6879339178,0.6924048842,0.6968758506,0.701346817
"IIASA-WiC POP","SSP3","grd","Population","million",0.104487,0.1049699158,0.1054528316,0.1059357474,0.1064186632,0.106901579,0.1076625762,0.1084235734,0.1091845706,0.1099455678,0.110706565,0.1116749138,0.1126432626,0.1136116114,0.1145799602,0.115548309,0.116484701,0.117421093,0.118357485,0.119293877,0.120230269,0.1210901112,0.1219499534,0.1228097956,0.1236696378,0.12452948,0.12536273,0.12619598,0.12702923,0.12786248,0.12869573,0.129534337,0.130372944,0.131211551,0.132050158,0.132888765,0.1337316066,0.1345744482,0.1354172898,0.1362601314,0.137102973,0.1379015282,0.1387000834,0.1394986386,0.1402971938,0.141095749,0.1418259612,0.1425561734,0.1432863856,0.1440165978,0.14474681,0.1453979168,0.1460490236,0.1467001304,0.1473512372,0.148002344,0.1486061452,0.1492099464,0.1498137476,0.1504175488,0.15102135,0.1516246352,0.1522279204,0.1528312056,0.1534344908,0.154037776,0.15468189,0.155326004,0.155970118,0.156614232,0.157258346,0.1579656234,0.1586729008,0.1593801782,0.1600874556,0.160794733,0.1615706458,0.1623465586,0.1631224714,0.1638983842,0.164674297,0.1655198478,0.1663653986,0.1672109494,0.1680565002,0.168902051,0.1698151886,0.1707283262,0.1716414638,0.1725546014,0.173467739
"IIASA-WiC POP","SSP3","bih","Population","million",3.760149,3.7579493966,3.7557497932,3.7535501898,3.7513505864,3.749150983,3.7454155378,3.7416800926,3.7379446474,3.7342092022,3.730473757,3.7243493724,3.7182249878,3.7121006032,3.7059762186,3.699851834,3.6910611082,3.6822703824,3.6734796566,3.6646889308,3.655898205,3.6431647008,3.6304311966,3.6176976924,3.6049641882,3.592230684,3.576660047,3.56108941,3.545518773,3.529948136,3.514377499,3.4975819484,3.4807863978,3.4639908472,3.4471952966,3.430399746,3.4135908004,3.3967818548,3.3799729092,3.3631639636,3.346355018,3.3296055786,3.3128561392,3.2961066998,3.2793572604,3.262607821,3.2460515192,3.2294952174,3.2129389156,3.1963826138,3.179826312,3.163145399,3.146464486,3.129783573,3.11310266,3.096421747,3.0804292744,3.0644368018,3.0484443292,3.0324518566,3.016459384,3.002330394,2.988201404,2.974072414,2.959943424,2.945814434,2.9343360066,2.9228575792,2.9113791518,2.8999007244,2.888422297,2.879722693,2.871023089,2.862323485,2.853623881,2.844924277,2.8385849858,2.8322456946,2.8259064034,2.8195671122,2.813227821,2.8085750458,2.8039222706,2.7992694954,2.7946167202,2.789963945,2.7864227872,2.7828816294,2.7793404716,2.7757993138,2.772258156
"IIASA-WiC POP","SSP3","fsm","Population","million",0.111064,0.1117301316,0.1123962632,0.1130623948,0.1137285264,0.114394658,0.1156016292,0.1168086004,0.1180155716,0.1192225428,0.120429514,0.1219629806,0.1234964472,0.1250299138,0.1265633804,0.128096847,0.1296244584,0.1311520698,0.1326796812,0.1342072926,0.135734904,0.1370655588,0.1383962136,0.1397268684,0.1410575232,0.142388178,0.1435143198,0.1446404616,0.1457666034,0.1468927452,0.148018887,0.1490327352,0.1500465834,0.1510604316,0.1520742798,0.153088128,0.1541443872,0.1552006464,0.1562569056,0.1573131648,0.158369424,0.1594633596,0.1605572952,0.1616512308,0.1627451664,0.163839102,0.1649083974,0.1659776928,0.1670469882,0.1681162836,0.169185579,0.170198875,0.171212171,0.172225467,0.173238763,0.174252059,0.175124294,0.175996529,0.176868764,0.177740999,0.178613234,0.1794098816,0.1802065292,0.1810031768,0.1817998244,0.182596472,0.1834013882,0.1842063044,0.1850112206,0.1858161368,0.186621053,0.1875204886,0.1884199242,0.1893193598,0.1902187954,0.191118231,0.1921351464,0.1931520618,0.1941689772,0.1951858926,0.196202808,0.197270848,0.198338888,0.199406928,0.200474968,0.201543008,0.2026166378,0.2036902676,0.2047638974,0.2058375272,0.206911157
"IIASA-WiC POP","SSP3","blr","Population","million",9.595421,9.5658487206,9.5362764412,9.5067041618,9.4771318824,9.447559603,9.4211407058,9.3947218086,9.3683029114,9.3418840142,9.315465117,9.2875102544,9.2595553918,9.2316005292,9.2036456666,9.175690804,9.1448613574,9.1140319108,9.0832024642,9.0523730176,9.021543571,8.988748084,8.955952597,8.92315711,8.890361623,8.857566136,8.828014149,8.798462162,8.768910175,8.739358188,8.709806201,8.6841380428,8.6584698846,8.6328017264,8.6071335682,8.58146541,8.5579072604,8.5343491108,8.5107909612,8.4872328116,8.463674662,8.4407299502,8.4177852384,8.3948405266,8.3718958148,8.348951103,8.3277240912,8.3064970794,8.2852700676,8.2640430558,8.242816044,8.2242038052,8.2055915664,8.1869793276,8.1683670888,8.14975485,8.1366974692,8.1236400884,8.1105827076,8.0975253268,8.084467946,8.0780066786,8.0715454112,8.0650841438,8.0586228764,8.052161609,8.0515252474,8.0508888858,8.0502525242,8.0496161626,8.048979801,8.0527317166,8.0564836322,8.0602355478,8.0639874634,8.067739379,8.0749565684,8.0821737578,8.0893909472,8.0966081366,8.103825326,8.113439369,8.123053412,8.132667455,8.142281498,8.151895541,8.1631016808,8.1743078206,8.1855139604,8.1967201002,8.20792624
"IIASA-WiC POP","SSP3","blz","Population","million",0.311627,0.3177605392,0.3238940784,0.3300276176,0.3361611568,0.342294696,0.3488098858,0.3553250756,0.3618402654,0.3683554552,0.374870645,0.3815439832,0.3882173214,0.3948906596,0.4015639978,0.408237336,0.4147896266,0.4213419172,0.4278942078,0.4344464984,0.440998789,0.4472406242,0.4534824594,0.4597242946,0.4659661298,0.472207965,0.478256084,0.484304203,0.490352322,0.496400441,0.50244856,0.5084717532,0.5144949464,0.5205181396,0.5265413328,0.532564526,0.5385803164,0.5445961068,0.5506118972,0.5566276876,0.562643478,0.568497516,0.574351554,0.580205592,0.58605963,0.591913668,0.5975652176,0.6032167672,0.6088683168,0.6145198664,0.620171416,0.6256620954,0.6311527748,0.6366434542,0.6421341336,0.647624813,0.653067864,0.658510915,0.663953966,0.669397017,0.674840068,0.680351254,0.68586244,0.691373626,0.696884812,0.702395998,0.7079718694,0.7135477408,0.7191236122,0.7246994836,0.730275355,0.735945205,0.741615055,0.747284905,0.752954755,0.758624605,0.7644117744,0.7701989438,0.7759861132,0.7817732826,0.787560452,0.7936078706,0.7996552892,0.8057027078,0.8117501264,0.817797545,0.8241517438,0.8305059426,0.8368601414,0.8432143402,0.849568539
"IIASA-WiC POP","SSP3","bol","Population","million",9.929849,10.1013195,10.27279,10.4442605,10.615731,10.7872015,10.986562874,11.185924248,11.385285622,11.584646996,11.78400837,12.001734516,12.219460662,12.437186808,12.654912954,12.8726391,13.097775574,13.322912048,13.548048522,13.773184996,13.99832147,14.219884384,14.441447298,14.663010212,14.884573126,15.10613604,15.32711308,15.54809012,15.76906716,15.9900442,16.21102124,16.431442846,16.651864452,16.872286058,17.092707664,17.31312927,17.537265682,17.761402094,17.985538506,18.209674918,18.43381133,18.652721508,18.871631686,19.090541864,19.309452042,19.52836222,19.73647082,19.94457942,20.15268802,20.36079662,20.56890522,20.774599128,20.980293036,21.185986944,21.391680852,21.59737476,21.799584442,22.001794124,22.204003806,22.406213488,22.60842317,22.805797116,23.003171062,23.200545008,23.397918954,23.5952929,23.794226872,23.993160844,24.192094816,24.391028788,24.58996276,24.788252958,24.986543156,25.184833354,25.383123552,25.58141375,25.78420317,25.98699259,26.18978201,26.39257143,26.59536085,26.798292588,27.001224326,27.204156064,27.407087802,27.61001954,27.816048382,28.022077224,28.228106066,28.434134908,28.64016375
"IIASA-WiC POP","SSP3","vir","Population","million",0.109056,0.1095959348,0.1101358696,0.1106758044,0.1112157392,0.111755674,0.1123640218,0.1129723696,0.1135807174,0.1141890652,0.114797413,0.1154317212,0.1160660294,0.1167003376,0.1173346458,0.117968954,0.1185164008,0.1190638476,0.1196112944,0.1201587412,0.120706188,0.121053289,0.12140039,0.121747491,0.122094592,0.122441693,0.1226464266,0.1228511602,0.1230558938,0.1232606274,0.123465361,0.1236409242,0.1238164874,0.1239920506,0.1241676138,0.124343177,0.1246002918,0.1248574066,0.1251145214,0.1253716362,0.125628751,0.1259988022,0.1263688534,0.1267389046,0.1271089558,0.127479007,0.127926491,0.128373975,0.128821459,0.129268943,0.129716427,0.1301710932,0.1306257594,0.1310804256,0.1315350918,0.131989758,0.1324099506,0.1328301432,0.1332503358,0.1336705284,0.134090721,0.1344839376,0.1348771542,0.1352703708,0.1356635874,0.136056804,0.1364555956,0.1368543872,0.1372531788,0.1376519704,0.138050762,0.1384857186,0.1389206752,0.1393556318,0.1397905884,0.140225545,0.1407108846,0.1411962242,0.1416815638,0.1421669034,0.142652243,0.14318194,0.143711637,0.144241334,0.144771031,0.145300728,0.1458650698,0.1464294116,0.1469937534,0.1475580952,0.148122437
"IIASA-WiC POP","SSP3","bra","Population","million",194.94647,196.75588042,198.56529084,200.37470126,202.18411168,203.9935221,205.84513388,207.69674566,209.54835744,211.39996922,213.251581,215.04530376,216.83902652,218.63274928,220.42647204,222.2201948,223.86660724,225.51301968,227.15943212,228.80584456,230.452257,231.8645102,233.2767634,234.6890166,236.1012698,237.513523,238.74171446,239.96990592,241.19809738,242.42628884,243.6544803,244.73584142,245.81720254,246.89856366,247.97992478,249.0612859,249.97992264,250.89855938,251.81719612,252.73583286,253.6544696,254.37328916,255.09210872,255.81092828,256.52974784,257.2485674,257.79046838,258.33236936,258.87427034,259.41617132,259.9580723,260.37165084,260.78522938,261.19880792,261.61238646,262.025965,262.36693618,262.70790736,263.04887854,263.38984972,263.7308209,264.03319918,264.33557746,264.63795574,264.94033402,265.2427123,265.5553028,265.8678933,266.1804838,266.4930743,266.8056648,267.16128462,267.51690444,267.87252426,268.22814408,268.5837639,269.00543342,269.42710294,269.84877246,270.27044198,270.6921115,271.20550192,271.71889234,272.23228276,272.74567318,273.2590636,273.86439936,274.46973512,275.07507088,275.68040664,276.2857424
