"model","scenario","iso","variable","unit","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
"IIASA-WiC POP","SSP3","brb","Population","million",0.273331,0.273889251,0.274447502,0.275005753,0.275564004,0.276122255,0.2767297412,0.2773372274,0.2779447136,0.2785521998,0.279159686,0.279662226,0.280164766,0.280667306,0.281169846,0.281672386,0.2819455106,0.2822186352,0.2824917598,0.2827648844,0.283038009,0.2829184262,0.2827988434,0.2826792606,0.2825596778,0.282440095,0.2819356182,0.2814311414,0.2809266646,0.2804221878,0.279917711,0.2791368864,0.2783560618,0.2775752372,0.2767944126,0.276013588,0.2751125714,0.2742115548,0.2733105382,0.2724095216,0.271508505,0.2705995448,0.2696905846,0.2687816244,0.2678726642,0.266963704,0.2661322524,0.2653008008,0.2644693492,0.2636378976,0.262806446,0.2620432266,0.2612800072,0.2605167878,0.2597535684,0.258990349,0.2582949136,0.2575994782,0.2569040428,0.2562086074,0.255513172,0.254896046,0.25427892,0.253661794,0.253044668,0.252427542,0.2519250966,0.2514226512,0.2509202058,0.2504177604,0.249915315,0.2495877148,0.2492601146,0.2489325144,0.2486049142,0.248277314,0.2481575434,0.2480377728,0.2479180022,0.2477982316,0.247678461,0.2477698228,0.2478611846,0.2479525464,0.2480439082,0.24813527,0.2483963702,0.2486574704,0.2489185706,0.2491796708,0.249440771
"IIASA-WiC POP","SSP3","brn","Population","million",0.39892,0.4054222916,0.4119245832,0.4184268748,0.4249291664,0.431431458,0.4375525726,0.4436736872,0.4497948018,0.4559159164,0.462037031,0.4676960048,0.4733549786,0.4790139524,0.4846729262,0.4903319,0.4957655064,0.5011991128,0.5066327192,0.5120663256,0.517499932,0.5226475906,0.5277952492,0.5329429078,0.5380905664,0.543238225,0.5481320852,0.5530259454,0.5579198056,0.5628136658,0.567707526,0.5723022186,0.5768969112,0.5814916038,0.5860862964,0.590680989,0.5950200604,0.5993591318,0.6036982032,0.6080372746,0.612376346,0.6164246812,0.6204730164,0.6245213516,0.6285696868,0.632618022,0.636445526,0.64027303,0.644100534,0.647928038,0.651755542,0.6552347862,0.6587140304,0.6621932746,0.6656725188,0.669151763,0.6723255556,0.6754993482,0.6786731408,0.6818469334,0.685020726,0.688007246,0.690993766,0.693980286,0.696966806,0.699953326,0.7028961058,0.7058388856,0.7087816654,0.7117244452,0.714667225,0.7176449726,0.7206227202,0.7236004678,0.7265782154,0.729555963,0.7325817426,0.7356075222,0.7386333018,0.7416590814,0.744684861,0.7477225954,0.7507603298,0.7537980642,0.7568357986,0.759873533,0.762874377,0.765875221,0.768876065,0.771876909,0.774877753
"IIASA-WiC POP","SSP3","btn","Population","million",0.72594,0.7400786474,0.7542172948,0.7683559422,0.7824945896,0.796633237,0.8112851704,0.8259371038,0.8405890372,0.8552409706,0.869892904,0.8840677852,0.8982426664,0.9124175476,0.9265924288,0.94076731,0.954805274,0.968843238,0.982881202,0.996919166,1.01095713,1.0244473776,1.0379376252,1.0514278728,1.0649181204,1.078408368,1.0919566096,1.1055048512,1.1190530928,1.1326013344,1.146149576,1.1599971696,1.1738447632,1.1876923568,1.2015399504,1.215387544,1.2293321958,1.2432768476,1.2572214994,1.2711661512,1.285110803,1.2984979726,1.3118851422,1.3252723118,1.3386594814,1.352046651,1.3646392722,1.3772318934,1.3898245146,1.4024171358,1.415009757,1.4266055988,1.4382014406,1.4497972824,1.4613931242,1.472988966,1.4839766074,1.4949642488,1.5059518902,1.5169395316,1.527927173,1.5385589384,1.5491907038,1.5598224692,1.5704542346,1.581086,1.5914435312,1.6018010624,1.6121585936,1.6225161248,1.632873656,1.64302341,1.653173164,1.663322918,1.673472672,1.683622426,1.6936276298,1.7036328336,1.7136380374,1.7236432412,1.733648445,1.743486142,1.753323839,1.763161536,1.772999233,1.78283693,1.7923272868,1.8018176436,1.8113080004,1.8207983572,1.830288714
"IIASA-WiC POP","SSP3","bwa","Population","million",2.006945,2.0273601968,2.0477753936,2.0681905904,2.0886057872,2.109020984,2.1243648066,2.1397086292,2.1550524518,2.1703962744,2.185740097,2.1981615282,2.2105829594,2.2230043906,2.2354258218,2.247847253,2.258578801,2.269310349,2.280041897,2.290773445,2.301504993,2.310402092,2.319299191,2.32819629,2.337093389,2.345990488,2.3542041172,2.3624177464,2.3706313756,2.3788450048,2.387058634,2.3949917026,2.4029247712,2.4108578398,2.4187909084,2.426723977,2.4346747962,2.4426256154,2.4505764346,2.4585272538,2.466478073,2.4726867604,2.4788954478,2.4851041352,2.4913128226,2.49752151,2.504500145,2.51147878,2.518457415,2.52543605,2.532414685,2.5390507888,2.5456868926,2.5523229964,2.5589591002,2.565595204,2.570231743,2.574868282,2.579504821,2.58414136,2.588777899,2.5941238768,2.5994698546,2.6048158324,2.6101618102,2.615507788,2.6222281766,2.6289485652,2.6356689538,2.6423893424,2.649109731,2.6564508676,2.6637920042,2.6711331408,2.6784742774,2.685815414,2.6937586894,2.7017019648,2.7096452402,2.7175885156,2.725531791,2.7340293044,2.7425268178,2.7510243312,2.7595218446,2.768019358,2.7761242446,2.7842291312,2.7923340178,2.8004389044,2.808543791
"IIASA-WiC POP","SSP3","caf","Population","million",4.401051,4.4891790898,4.5773071796,4.6654352694,4.7535633592,4.841691449,4.9390794486,5.0364674482,5.1338554478,5.2312434474,5.328631447,5.4278759842,5.5271205214,5.6263650586,5.7256095958,5.824854133,5.9235846758,6.0223152186,6.1210457614,6.2197763042,6.318506847,6.4118620064,6.5052171658,6.5985723252,6.6919274846,6.785282644,6.8745963012,6.9639099584,7.0532236156,7.1425372728,7.23185093,7.3180509474,7.4042509648,7.4904509822,7.5766509996,7.662851017,7.7450602222,7.8272694274,7.9094786326,7.9916878378,8.073897043,8.1487002168,8.2235033906,8.2983065644,8.3731097382,8.447912912,8.5143727474,8.5808325828,8.6472924182,8.7137522536,8.780212089,8.8392892052,8.8983663214,8.9574434376,9.0165205538,9.07559767,9.128287352,9.180977034,9.233666716,9.286356398,9.33904608,9.3861826774,9.4333192748,9.4804558722,9.5275924696,9.574729067,9.6148490016,9.6549689362,9.6950888708,9.7352088054,9.77532874,9.8119893928,9.8486500456,9.8853106984,9.9219713512,9.958632004,9.9889688692,10.0193057344,10.0496425996,10.0799794648,10.11031633,10.135024624,10.159732918,10.184441212,10.209149506,10.2338578,10.253776374,10.273694948,10.293613522,10.313532096,10.33345067
"IIASA-WiC POP","SSP3","can","Population","million",34.016593,34.313741018,34.610889036,34.908037054,35.205185072,35.50233309,35.735611396,35.968889702,36.202168008,36.435446314,36.66872462,36.81531777,36.96191092,37.10850407,37.25509722,37.40169037,37.483705176,37.565719982,37.647734788,37.729749594,37.8117644,37.845433672,37.879102944,37.912772216,37.946441488,37.98011076,37.976748846,37.973386932,37.970025018,37.966663104,37.96330119,37.92805195,37.89280271,37.85755347,37.82230423,37.78705499,37.72084357,37.65463215,37.58842073,37.52220931,37.45599789,37.365003306,37.274008722,37.183014138,37.092019554,37.00102497,36.889792324,36.778559678,36.667327032,36.556094386,36.44486174,36.307368484,36.169875228,36.032381972,35.894888716,35.75739546,35.594960472,35.432525484,35.270090496,35.107655508,34.94522052,34.757271604,34.569322688,34.381373772,34.193424856,34.00547594,33.792495556,33.579515172,33.366534788,33.153554404,32.94057402,32.705833498,32.471092976,32.236352454,32.001611932,31.76687141,31.515644496,31.264417582,31.013190668,30.761963754,30.51073684,30.249251376,29.987765912,29.726280448,29.464794984,29.20330952,28.931799972,28.660290424,28.388780876,28.117271328,27.84576178
"IIASA-WiC POP","SSP3","che","Population","million",7.664318,7.699844933,7.735371866,7.770898799,7.806425732,7.841952665,7.862456808,7.882960951,7.903465094,7.923969237,7.94447338,7.9544480262,7.9644226724,7.9743973186,7.9843719648,7.994346611,7.995049828,7.995753045,7.996456262,7.997159479,7.997862696,7.9905562604,7.9832498248,7.9759433892,7.9686369536,7.961330518,7.9460594008,7.9307882836,7.9155171664,7.9002460492,7.884974932,7.8624613238,7.8399477156,7.8174341074,7.7949204992,7.772406891,7.7424885706,7.7125702502,7.6826519298,7.6527336094,7.622815289,7.5862657606,7.5497162322,7.5131667038,7.4766171754,7.440067647,7.3982004414,7.3563332358,7.3144660302,7.2725988246,7.230731619,7.1844945282,7.1382574374,7.0920203466,7.0457832558,6.999546165,6.9516078744,6.9036695838,6.8557312932,6.8077930026,6.759854712,6.7109927892,6.6621308664,6.6132689436,6.5644070208,6.515545098,6.4657236994,6.4159023008,6.3660809022,6.3162595036,6.266438105,6.2151927946,6.1639474842,6.1127021738,6.0614568634,6.010211553,5.9581596896,5.9061078262,5.8540559628,5.8020040994,5.749952236,5.6974477346,5.6449432332,5.5924387318,5.5399342304,5.487429729,5.4346015264,5.3817733238,5.3289451212,5.2761169186,5.223288716
"IIASA-WiC POP","SSP3","chl","Population","million",17.113688,17.276250876,17.438813752,17.601376628,17.763939504,17.92650238,18.08979052,18.25307866,18.4163668,18.57965494,18.74294308,18.896473152,19.050003224,19.203533296,19.357063368,19.51059344,19.64836442,19.7861354,19.92390638,20.06167736,20.19944834,20.312507686,20.425567032,20.538626378,20.651685724,20.76474507,20.85806216,20.95137925,21.04469634,21.13801343,21.23133052,21.310475964,21.389621408,21.468766852,21.547912296,21.62705774,21.695768624,21.764479508,21.833190392,21.901901276,21.97061216,22.028773386,22.086934612,22.145095838,22.203257064,22.26141829,22.311906398,22.362394506,22.412882614,22.463370722,22.51385883,22.55830791,22.60275699,22.64720607,22.69165515,22.73610423,22.777127432,22.818150634,22.859173836,22.900197038,22.94122024,22.980675652,23.020131064,23.059586476,23.099041888,23.1384973,23.177529732,23.216562164,23.255594596,23.294627028,23.33365946,23.374750892,23.415842324,23.456933756,23.498025188,23.53911662,23.584918792,23.630720964,23.676523136,23.722325308,23.76812748,23.820796956,23.873466432,23.926135908,23.978805384,24.03147486,24.091103254,24.150731648,24.210360042,24.269988436,24.32961683
"IIASA-WiC POP","SSP3","chn","Population","million",1341.335152,1346.1910288,1351.0469056,1355.9027824,1360.7586592,1365.614536,1369.6294882,1373.6444404,1377.6593926,1381.6743448,1385.689297,1387.9966734,1390.3040498,1392.6114262,1394.9188026,1397.226179,1397.556655,1397.887131,1398.217607,1398.548083,1398.878559,1396.8713494,1394.8641398,1392.8569302,1390.8497206,1388.842511,1384.7830934,1380.7236758,1376.6642582,1372.6048406,1368.545423,1362.9658074,1357.3861918,1351.8065762,1346.2269606,1340.647345,1334.010851,1327.374357,1320.737863,1314.101369,1307.464875,1300.0151846,1292.5654942,1285.1158038,1277.6661134,1270.216423,1262.439915,1254.663407,1246.886899,1239.110391,1231.333883,1223.7265286,1216.1191742,1208.5118198,1200.9044654,1193.297111,1186.1285456,1178.9599802,1171.7914148,1164.6228494,1157.454284,1150.7598092,1144.0653344,1137.3708596,1130.6763848,1123.98191,1117.9916096,1112.0013092,1106.0110088,1100.0207084,1094.030408,1089.053422,1084.076436,1079.09945,1074.122464,1069.145478,1065.3696116,1061.5937452,1057.8178788,1054.0420124,1050.266146,1047.5935702,1044.9209944,1042.2484186,1039.5758428,1036.903267,1035.119381,1033.335495,1031.551609,1029.767723,1027.983837
"IIASA-WiC POP","SSP3","civ","Population","million",19.7378,20.148143658,20.558487316,20.968830974,21.379174632,21.78951829,22.264501146,22.739484002,23.214466858,23.689449714,24.16443257,24.673334242,25.182235914,25.691137586,26.200039258,26.70894093,27.234706356,27.760471782,28.286237208,28.812002634,29.33776806,29.853085972,30.368403884,30.883721796,31.399039708,31.91435762,32.424915572,32.935473524,33.446031476,33.956589428,34.46714738,34.973103716,35.479060052,35.985016388,36.490972724,36.99692906,37.495764462,37.994599864,38.493435266,38.992270668,39.49110607,39.963758056,40.436410042,40.909062028,41.381714014,41.854366,42.294657404,42.734948808,43.175240212,43.615531616,44.05582302,44.476822632,44.897822244,45.318821856,45.739821468,46.16082108,46.555307426,46.949793772,47.344280118,47.738766464,48.13325281,48.509045318,48.884837826,49.260630334,49.636422842,50.01221535,50.377950218,50.743685086,51.109419954,51.475154822,51.84088969,52.184661434,52.528433178,52.872204922,53.215976666,53.55974841,53.884232036,54.208715662,54.533199288,54.857682914,55.18216654,55.489108628,55.796050716,56.102992804,56.409934892,56.71687698,57.007625642,57.298374304,57.589122966,57.879871628,58.17062029
"IIASA-WiC POP","SSP3","cmr","Population","million",19.598889,20.046512728,20.494136456,20.941760184,21.389383912,21.83700764,22.304881608,22.772755576,23.240629544,23.708503512,24.17637748,24.639968112,25.103558744,25.567149376,26.030740008,26.49433064,26.96525419,27.43617774,27.90710129,28.37802484,28.84894839,29.303791754,29.758635118,30.213478482,30.668321846,31.12316521,31.562371462,32.001577714,32.440783966,32.879990218,33.31919647,33.735812942,34.152429414,34.569045886,34.985662358,35.40227883,35.799139308,36.195999786,36.592860264,36.989720742,37.38658122,37.749397048,38.112212876,38.475028704,38.837844532,39.20066036,39.530438308,39.860216256,40.189994204,40.519772152,40.8495501,41.146990842,41.444431584,41.741872326,42.039313068,42.33675381,42.622010114,42.907266418,43.192522722,43.477779026,43.76303533,44.017134068,44.271232806,44.525331544,44.779430282,45.03352902,45.270152738,45.506776456,45.743400174,45.980023892,46.21664761,46.431829974,46.647012338,46.862194702,47.077377066,47.29255943,47.48909028,47.68562113,47.88215198,48.07868283,48.27521368,48.463971756,48.652729832,48.841487908,49.030245984,49.21900406,49.381395534,49.543787008,49.706178482,49.868569956,50.03096143
