"iso","sector","C10H16","C2H2","C2H4","C2H4O","C2H5OH","C2H6","C2H6S","C3H6","C3H6O","C3H8","C5H8","C6H6","C7H8","C8H10","CH2O","CH3COCHO","CH3COOH","CH3OH","HCN","HCOOH","Higher-Alkanes","Higher-Alkenes","HOCH2CHO","MEK","Toluene-lump"
"abw","AGRI","0.000206535195938627","0.0110310537996619","0.0594941092440818","0.0504764980330843","0.00142780615745183","0.0371348328576827","5.31492847180099e-05","0.0278256714689101","0.0182957679785507","0.0113842604783386","0.0153915800178774","0.00614293177284844","0.00773095599506306","0.00461908007560381","0.0845622197217322","0.0298453687672707","0.227942658158093","0.133767594892192","0.0118803247042744","0.0405753500328374","0.013785140383916","0.0135460987396553","0.028865408094483","0.0365128321321064","0.0169246846585018"
"afg","AGRI","0.000420879401675394","0.0117788126897262","0.0606129275364087","0.05057695062255","0.00148237673603791","0.0387755578006765","5.75573557092232e-05","0.0307165447778897","0.0180031736742495","0.0112053839813708","0.0144647101467675","0.0069100173663355","0.00769548777807428","0.00435524655541312","0.0831412876299956","0.0323206703159695","0.234878451468039","0.131701588205446","0.0134761242818508","0.0388673994871388","0.0130874146337568","0.013433336044167","0.028386238690608","0.0349177996009617","0.0174804494014518"
"ago","AGRI","0.000185794095145081","0.00896571548306258","0.0466596872760661","0.0405763777810551","0.00113800674017504","0.0293374278184318","4.25478723308731e-05","0.0222878694795269","0.014918629141679","0.00870151466307182","0.0112975108414681","0.00509265021121827","0.00626503005191885","0.00376538169126948","0.0662999224668627","0.0238699848047669","0.178045233130729","0.104228728950185","0.00963576121086126","0.0317433955230264","0.0100328100120653","0.0106097846752906","0.0229655244292387","0.0278364364800846","0.0138187305390576"
"alb","AGRI","0.00105531750414497","0.0115322100423049","0.061293778016556","0.051791634874422","0.00152067936911615","0.0384854310912799","6.02404106384345e-05","0.0294842475636864","0.0188606501971732","0.0116733551543935","0.0158400037395953","0.00660786840334372","0.0079523530023243","0.00479228359193916","0.0869293488513682","0.0313760826532014","0.23550606677995","0.136927389474645","0.0129256050817872","0.0415524703139529","0.0141597056974398","0.013949666373971","0.0297615920594168","0.0374760161828502","0.0175775359213798"
"are","AGRI","0.000198759872194609","0.0107330341682976","0.0580378886606704","0.0492924512667548","0.0013913192562299","0.0361742986869829","5.16775669077507e-05","0.0270313449226271","0.0178883894027206","0.0111305540498392","0.01510575198748","0.00596279646757355","0.00755287511596466","0.00453172550846647","0.082684107271845","0.0290189425747845","0.222213550581938","0.130784005916178","0.0115280721758301","0.0397519776208574","0.0135156715835382","0.0132374080175692","0.0282239010561505","0.0357767752943398","0.016497069817325"
"arg","AGRI","0.00154633438906527","0.0115091769435533","0.0582665141689457","0.0509398622141271","0.00156304252123989","0.0365110352507048","6.52908556125748e-05","0.0282022681954058","0.0192150087808401","0.0108838356830774","0.0141050135960485","0.00684242381045976","0.00799091768857155","0.00484627264805545","0.0843582322727068","0.0302568030178936","0.217867098744","0.129277260336969","0.0129762483495082","0.0391567053434164","0.0127958281024331","0.013538562307041","0.0295777317757837","0.0342438415276831","0.0179051988744531"
"arm","AGRI","0.000456624094725779","0.0117142985073989","0.0610183612719519","0.0512322879726726","0.00148541203735387","0.0387469799729038","5.72515749744877e-05","0.0304045739092925","0.0183983730190788","0.0114461226768463","0.0152834880928397","0.00683238153197894","0.00781960249676654","0.0045882908852717","0.0849902582832727","0.0320690893128435","0.23552537060553","0.134486434858447","0.0133227265694102","0.0403530758988104","0.0136902840194236","0.0136747645632612","0.0290189075934725","0.0362934508180124","0.0175261826951406"
"asm","AGRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"atg","AGRI","0.000224289028707632","0.0116378306717765","0.0622317730760592","0.0526040342243169","0.001499103468695","0.0390301158885732","5.6192551641978e-05","0.0294966490761579","0.0189800750472374","0.0118109661871289","0.0157062672249466","0.00652700475689626","0.00804401838376738","0.00472165206096686","0.0877054480905155","0.0315542813457963","0.238980788771861","0.138791649499896","0.0126352270213982","0.0417463673899795","0.0141346836415064","0.0140813684686913","0.0299400340275466","0.0375441170733703","0.0177523101849966"
"aus","AGRI","0.00236162311229822","0.0113185848412767","0.0593389059667757","0.0499953416554059","0.00167056210731289","0.0368170703547433","7.30386621274384e-05","0.0283685714984219","0.0193609086410867","0.0112783772261779","0.0141446233618016","0.00671988268446284","0.00797676163598861","0.00500409806656647","0.0865555758126505","0.0305329485038687","0.218584417252763","0.129735288607139","0.0133608788681044","0.0381918263241143","0.0134171992074863","0.0139662434524598","0.0303287881162607","0.0333638774582414","0.0178609130579298"
