"em","sector","year","seasonality_file"
"BC","AWB",2015,"AWB_BC_seasonality"
"BC","AWB",2016,"AWB_BC_seasonality"
"BC","AWB",2017,"AWB_BC_seasonality"
"BC","AWB",2018,"AWB_BC_seasonality"
"BC","AWB",2019,"AWB_BC_seasonality"
"BC","AWB",2020,"AWB_BC_seasonality"
"BC","AWB",2021,"AWB_BC_seasonality"
"BC","AWB",2022,"AWB_BC_seasonality"
"BC","AWB",2023,"AWB_BC_seasonality"
"BC","AWB",2024,"AWB_BC_seasonality"
"BC","AWB",2025,"AWB_BC_seasonality"
"BC","AWB",2026,"AWB_BC_seasonality"
"BC","AWB",2027,"AWB_BC_seasonality"
"BC","AWB",2028,"AWB_BC_seasonality"
"BC","AWB",2029,"AWB_BC_seasonality"
"BC","AWB",2030,"AWB_BC_seasonality"
"BC","AWB",2031,"AWB_BC_seasonality"
"BC","AWB",2032,"AWB_BC_seasonality"
"BC","AWB",2033,"AWB_BC_seasonality"
"BC","AWB",2034,"AWB_BC_seasonality"
"BC","AWB",2035,"AWB_BC_seasonality"
"BC","AWB",2036,"AWB_BC_seasonality"
"BC","AWB",2037,"AWB_BC_seasonality"
"BC","AWB",2038,"AWB_BC_seasonality"
"BC","AWB",2039,"AWB_BC_seasonality"
"BC","AWB",2040,"AWB_BC_seasonality"
"BC","AWB",2041,"AWB_BC_seasonality"
"BC","AWB",2042,"AWB_BC_seasonality"
"BC","AWB",2043,"AWB_BC_seasonality"
"BC","AWB",2044,"AWB_BC_seasonality"
"BC","AWB",2045,"AWB_BC_seasonality"
"BC","AWB",2046,"AWB_BC_seasonality"
"BC","AWB",2047,"AWB_BC_seasonality"
"BC","AWB",2048,"AWB_BC_seasonality"
"BC","AWB",2049,"AWB_BC_seasonality"
"BC","AWB",2050,"AWB_BC_seasonality"
"BC","AWB",2051,"AWB_BC_seasonality"
"BC","AWB",2052,"AWB_BC_seasonality"
"BC","AWB",2053,"AWB_BC_seasonality"
"BC","AWB",2054,"AWB_BC_seasonality"
"BC","AWB",2055,"AWB_BC_seasonality"
"BC","AWB",2056,"AWB_BC_seasonality"
"BC","AWB",2057,"AWB_BC_seasonality"
"BC","AWB",2058,"AWB_BC_seasonality"
"BC","AWB",2059,"AWB_BC_seasonality"
"BC","AWB",2060,"AWB_BC_seasonality"
"BC","AWB",2061,"AWB_BC_seasonality"
"BC","AWB",2062,"AWB_BC_seasonality"
"BC","AWB",2063,"AWB_BC_seasonality"
"BC","AWB",2064,"AWB_BC_seasonality"
"BC","AWB",2065,"AWB_BC_seasonality"
"BC","AWB",2066,"AWB_BC_seasonality"
"BC","AWB",2067,"AWB_BC_seasonality"
"BC","AWB",2068,"AWB_BC_seasonality"
"BC","AWB",2069,"AWB_BC_seasonality"
"BC","AWB",2070,"AWB_BC_seasonality"
"BC","AWB",2071,"AWB_BC_seasonality"
"BC","AWB",2072,"AWB_BC_seasonality"
"BC","AWB",2073,"AWB_BC_seasonality"
"BC","AWB",2074,"AWB_BC_seasonality"
"BC","AWB",2075,"AWB_BC_seasonality"
"BC","AWB",2076,"AWB_BC_seasonality"
"BC","AWB",2077,"AWB_BC_seasonality"
"BC","AWB",2078,"AWB_BC_seasonality"
"BC","AWB",2079,"AWB_BC_seasonality"
"BC","AWB",2080,"AWB_BC_seasonality"
"BC","AWB",2081,"AWB_BC_seasonality"
"BC","AWB",2082,"AWB_BC_seasonality"
