"em","sector","year","seasonality_file"
"BC","AWB",2083,"AWB_BC_seasonality"
"BC","AWB",2084,"AWB_BC_seasonality"
"BC","AWB",2085,"AWB_BC_seasonality"
"BC","AWB",2086,"AWB_BC_seasonality"
"BC","AWB",2087,"AWB_BC_seasonality"
"BC","AWB",2088,"AWB_BC_seasonality"
"BC","AWB",2089,"AWB_BC_seasonality"
"BC","AWB",2090,"AWB_BC_seasonality"
"BC","AWB",2091,"AWB_BC_seasonality"
"BC","AWB",2092,"AWB_BC_seasonality"
"BC","AWB",2093,"AWB_BC_seasonality"
"BC","AWB",2094,"AWB_BC_seasonality"
"BC","AWB",2095,"AWB_BC_seasonality"
"BC","AWB",2096,"AWB_BC_seasonality"
"BC","AWB",2097,"AWB_BC_seasonality"
"BC","AWB",2098,"AWB_BC_seasonality"
"BC","AWB",2099,"AWB_BC_seasonality"
"BC","AWB",2100,"AWB_BC_seasonality"
"BC","FRTB",2015,"FRTB_BC_seasonality"
"BC","FRTB",2016,"FRTB_BC_seasonality"
"BC","FRTB",2017,"FRTB_BC_seasonality"
"BC","FRTB",2018,"FRTB_BC_seasonality"
"BC","FRTB",2019,"FRTB_BC_seasonality"
"BC","FRTB",2020,"FRTB_BC_seasonality"
"BC","FRTB",2021,"FRTB_BC_seasonality"
"BC","FRTB",2022,"FRTB_BC_seasonality"
"BC","FRTB",2023,"FRTB_BC_seasonality"
"BC","FRTB",2024,"FRTB_BC_seasonality"
"BC","FRTB",2025,"FRTB_BC_seasonality"
"BC","FRTB",2026,"FRTB_BC_seasonality"
"BC","FRTB",2027,"FRTB_BC_seasonality"
"BC","FRTB",2028,"FRTB_BC_seasonality"
"BC","FRTB",2029,"FRTB_BC_seasonality"
"BC","FRTB",2030,"FRTB_BC_seasonality"
"BC","FRTB",2031,"FRTB_BC_seasonality"
"BC","FRTB",2032,"FRTB_BC_seasonality"
"BC","FRTB",2033,"FRTB_BC_seasonality"
"BC","FRTB",2034,"FRTB_BC_seasonality"
"BC","FRTB",2035,"FRTB_BC_seasonality"
"BC","FRTB",2036,"FRTB_BC_seasonality"
"BC","FRTB",2037,"FRTB_BC_seasonality"
"BC","FRTB",2038,"FRTB_BC_seasonality"
"BC","FRTB",2039,"FRTB_BC_seasonality"
"BC","FRTB",2040,"FRTB_BC_seasonality"
"BC","FRTB",2041,"FRTB_BC_seasonality"
"BC","FRTB",2042,"FRTB_BC_seasonality"
"BC","FRTB",2043,"FRTB_BC_seasonality"
"BC","FRTB",2044,"FRTB_BC_seasonality"
"BC","FRTB",2045,"FRTB_BC_seasonality"
"BC","FRTB",2046,"FRTB_BC_seasonality"
"BC","FRTB",2047,"FRTB_BC_seasonality"
"BC","FRTB",2048,"FRTB_BC_seasonality"
"BC","FRTB",2049,"FRTB_BC_seasonality"
"BC","FRTB",2050,"FRTB_BC_seasonality"
"BC","FRTB",2051,"FRTB_BC_seasonality"
"BC","FRTB",2052,"FRTB_BC_seasonality"
"BC","FRTB",2053,"FRTB_BC_seasonality"
"BC","FRTB",2054,"FRTB_BC_seasonality"
"BC","FRTB",2055,"FRTB_BC_seasonality"
"BC","FRTB",2056,"FRTB_BC_seasonality"
"BC","FRTB",2057,"FRTB_BC_seasonality"
"BC","FRTB",2058,"FRTB_BC_seasonality"
"BC","FRTB",2059,"FRTB_BC_seasonality"
"BC","FRTB",2060,"FRTB_BC_seasonality"
"BC","FRTB",2061,"FRTB_BC_seasonality"
"BC","FRTB",2062,"FRTB_BC_seasonality"
"BC","FRTB",2063,"FRTB_BC_seasonality"
"BC","FRTB",2064,"FRTB_BC_seasonality"
"BC","FRTB",2065,"FRTB_BC_seasonality"
"BC","FRTB",2066,"FRTB_BC_seasonality"
"BC","FRTB",2067,"FRTB_BC_seasonality"
"BC","FRTB",2068,"FRTB_BC_seasonality"
"BC","FRTB",2069,"FRTB_BC_seasonality"
"BC","FRTB",2070,"FRTB_BC_seasonality"
"BC","FRTB",2071,"FRTB_BC_seasonality"
"BC","FRTB",2072,"FRTB_BC_seasonality"
"BC","FRTB",2073,"FRTB_BC_seasonality"
"BC","FRTB",2074,"FRTB_BC_seasonality"
"BC","FRTB",2075,"FRTB_BC_seasonality"
"BC","FRTB",2076,"FRTB_BC_seasonality"
"BC","FRTB",2077,"FRTB_BC_seasonality"
"BC","FRTB",2078,"FRTB_BC_seasonality"
"BC","FRTB",2079,"FRTB_BC_seasonality"
"BC","FRTB",2080,"FRTB_BC_seasonality"
"BC","FRTB",2081,"FRTB_BC_seasonality"
"BC","FRTB",2082,"FRTB_BC_seasonality"
"BC","FRTB",2083,"FRTB_BC_seasonality"
"BC","FRTB",2084,"FRTB_BC_seasonality"
"BC","FRTB",2085,"FRTB_BC_seasonality"
"BC","FRTB",2086,"FRTB_BC_seasonality"
"BC","FRTB",2087,"FRTB_BC_seasonality"
"BC","FRTB",2088,"FRTB_BC_seasonality"
"BC","FRTB",2089,"FRTB_BC_seasonality"
"BC","FRTB",2090,"FRTB_BC_seasonality"
"BC","FRTB",2091,"FRTB_BC_seasonality"
"BC","FRTB",2092,"FRTB_BC_seasonality"
"BC","FRTB",2093,"FRTB_BC_seasonality"
"BC","FRTB",2094,"FRTB_BC_seasonality"
"BC","FRTB",2095,"FRTB_BC_seasonality"
"BC","FRTB",2096,"FRTB_BC_seasonality"
"BC","FRTB",2097,"FRTB_BC_seasonality"
"BC","FRTB",2098,"FRTB_BC_seasonality"
"BC","FRTB",2099,"FRTB_BC_seasonality"
"BC","FRTB",2100,"FRTB_BC_seasonality"
"BC","GRSB",2015,"GRSB_BC_seasonality"
"BC","GRSB",2016,"GRSB_BC_seasonality"
"BC","GRSB",2017,"GRSB_BC_seasonality"
"BC","GRSB",2018,"GRSB_BC_seasonality"
"BC","GRSB",2019,"GRSB_BC_seasonality"
"BC","GRSB",2020,"GRSB_BC_seasonality"
"BC","GRSB",2021,"GRSB_BC_seasonality"
"BC","GRSB",2022,"GRSB_BC_seasonality"
"BC","GRSB",2023,"GRSB_BC_seasonality"
"BC","GRSB",2024,"GRSB_BC_seasonality"
"BC","GRSB",2025,"GRSB_BC_seasonality"
"BC","GRSB",2026,"GRSB_BC_seasonality"
"BC","GRSB",2027,"GRSB_BC_seasonality"
"BC","GRSB",2028,"GRSB_BC_seasonality"
"BC","GRSB",2029,"GRSB_BC_seasonality"
"BC","GRSB",2030,"GRSB_BC_seasonality"
"BC","GRSB",2031,"GRSB_BC_seasonality"
"BC","GRSB",2032,"GRSB_BC_seasonality"
"BC","GRSB",2033,"GRSB_BC_seasonality"
"BC","GRSB",2034,"GRSB_BC_seasonality"
"BC","GRSB",2035,"GRSB_BC_seasonality"
"BC","GRSB",2036,"GRSB_BC_seasonality"
"BC","GRSB",2037,"GRSB_BC_seasonality"
"BC","GRSB",2038,"GRSB_BC_seasonality"
"BC","GRSB",2039,"GRSB_BC_seasonality"
"BC","GRSB",2040,"GRSB_BC_seasonality"
"BC","GRSB",2041,"GRSB_BC_seasonality"
"BC","GRSB",2042,"GRSB_BC_seasonality"
"BC","GRSB",2043,"GRSB_BC_seasonality"
"BC","GRSB",2044,"GRSB_BC_seasonality"
"BC","GRSB",2045,"GRSB_BC_seasonality"
"BC","GRSB",2046,"GRSB_BC_seasonality"
"BC","GRSB",2047,"GRSB_BC_seasonality"
"BC","GRSB",2048,"GRSB_BC_seasonality"
"BC","GRSB",2049,"GRSB_BC_seasonality"
"BC","GRSB",2050,"GRSB_BC_seasonality"
"BC","GRSB",2051,"GRSB_BC_seasonality"
"BC","GRSB",2052,"GRSB_BC_seasonality"
"BC","GRSB",2053,"GRSB_BC_seasonality"
"BC","GRSB",2054,"GRSB_BC_seasonality"
"BC","GRSB",2055,"GRSB_BC_seasonality"
"BC","GRSB",2056,"GRSB_BC_seasonality"
"BC","GRSB",2057,"GRSB_BC_seasonality"
"BC","GRSB",2058,"GRSB_BC_seasonality"
"BC","GRSB",2059,"GRSB_BC_seasonality"
"BC","GRSB",2060,"GRSB_BC_seasonality"
"BC","GRSB",2061,"GRSB_BC_seasonality"
"BC","GRSB",2062,"GRSB_BC_seasonality"
"BC","GRSB",2063,"GRSB_BC_seasonality"
"BC","GRSB",2064,"GRSB_BC_seasonality"
"BC","GRSB",2065,"GRSB_BC_seasonality"
"BC","GRSB",2066,"GRSB_BC_seasonality"
"BC","GRSB",2067,"GRSB_BC_seasonality"
"BC","GRSB",2068,"GRSB_BC_seasonality"
"BC","GRSB",2069,"GRSB_BC_seasonality"
"BC","GRSB",2070,"GRSB_BC_seasonality"
"BC","GRSB",2071,"GRSB_BC_seasonality"
"BC","GRSB",2072,"GRSB_BC_seasonality"
"BC","GRSB",2073,"GRSB_BC_seasonality"
"BC","GRSB",2074,"GRSB_BC_seasonality"
"BC","GRSB",2075,"GRSB_BC_seasonality"
"BC","GRSB",2076,"GRSB_BC_seasonality"
"BC","GRSB",2077,"GRSB_BC_seasonality"
"BC","GRSB",2078,"GRSB_BC_seasonality"
"BC","GRSB",2079,"GRSB_BC_seasonality"
"BC","GRSB",2080,"GRSB_BC_seasonality"
"BC","GRSB",2081,"GRSB_BC_seasonality"
"BC","GRSB",2082,"GRSB_BC_seasonality"
"BC","GRSB",2083,"GRSB_BC_seasonality"
"BC","GRSB",2084,"GRSB_BC_seasonality"
"BC","GRSB",2085,"GRSB_BC_seasonality"
"BC","GRSB",2086,"GRSB_BC_seasonality"
"BC","GRSB",2087,"GRSB_BC_seasonality"
"BC","GRSB",2088,"GRSB_BC_seasonality"
"BC","GRSB",2089,"GRSB_BC_seasonality"
"BC","GRSB",2090,"GRSB_BC_seasonality"
"BC","GRSB",2091,"GRSB_BC_seasonality"
"BC","GRSB",2092,"GRSB_BC_seasonality"
"BC","GRSB",2093,"GRSB_BC_seasonality"
"BC","GRSB",2094,"GRSB_BC_seasonality"
"BC","GRSB",2095,"GRSB_BC_seasonality"
"BC","GRSB",2096,"GRSB_BC_seasonality"
"BC","GRSB",2097,"GRSB_BC_seasonality"
"BC","GRSB",2098,"GRSB_BC_seasonality"
"BC","GRSB",2099,"GRSB_BC_seasonality"
"BC","GRSB",2100,"GRSB_BC_seasonality"
"BC","PEAT",2015,"PEAT_BC_seasonality"
"BC","PEAT",2016,"PEAT_BC_seasonality"
"BC","PEAT",2017,"PEAT_BC_seasonality"
"BC","PEAT",2018,"PEAT_BC_seasonality"
"BC","PEAT",2019,"PEAT_BC_seasonality"
"BC","PEAT",2020,"PEAT_BC_seasonality"
"BC","PEAT",2021,"PEAT_BC_seasonality"
"BC","PEAT",2022,"PEAT_BC_seasonality"
"BC","PEAT",2023,"PEAT_BC_seasonality"
"BC","PEAT",2024,"PEAT_BC_seasonality"
"BC","PEAT",2025,"PEAT_BC_seasonality"
"BC","PEAT",2026,"PEAT_BC_seasonality"
"BC","PEAT",2027,"PEAT_BC_seasonality"
"BC","PEAT",2028,"PEAT_BC_seasonality"
"BC","PEAT",2029,"PEAT_BC_seasonality"
"BC","PEAT",2030,"PEAT_BC_seasonality"
"BC","PEAT",2031,"PEAT_BC_seasonality"
"BC","PEAT",2032,"PEAT_BC_seasonality"
"BC","PEAT",2033,"PEAT_BC_seasonality"
"BC","PEAT",2034,"PEAT_BC_seasonality"
"BC","PEAT",2035,"PEAT_BC_seasonality"
"BC","PEAT",2036,"PEAT_BC_seasonality"
"BC","PEAT",2037,"PEAT_BC_seasonality"
"BC","PEAT",2038,"PEAT_BC_seasonality"
"BC","PEAT",2039,"PEAT_BC_seasonality"
"BC","PEAT",2040,"PEAT_BC_seasonality"
"BC","PEAT",2041,"PEAT_BC_seasonality"
"BC","PEAT",2042,"PEAT_BC_seasonality"
"BC","PEAT",2043,"PEAT_BC_seasonality"
"BC","PEAT",2044,"PEAT_BC_seasonality"
"BC","PEAT",2045,"PEAT_BC_seasonality"
"BC","PEAT",2046,"PEAT_BC_seasonality"
"BC","PEAT",2047,"PEAT_BC_seasonality"
"BC","PEAT",2048,"PEAT_BC_seasonality"
"BC","PEAT",2049,"PEAT_BC_seasonality"
"BC","PEAT",2050,"PEAT_BC_seasonality"
"BC","PEAT",2051,"PEAT_BC_seasonality"
"BC","PEAT",2052,"PEAT_BC_seasonality"
"BC","PEAT",2053,"PEAT_BC_seasonality"
"BC","PEAT",2054,"PEAT_BC_seasonality"
"BC","PEAT",2055,"PEAT_BC_seasonality"
"BC","PEAT",2056,"PEAT_BC_seasonality"
"BC","PEAT",2057,"PEAT_BC_seasonality"
"BC","PEAT",2058,"PEAT_BC_seasonality"
"BC","PEAT",2059,"PEAT_BC_seasonality"
"BC","PEAT",2060,"PEAT_BC_seasonality"
"BC","PEAT",2061,"PEAT_BC_seasonality"
"BC","PEAT",2062,"PEAT_BC_seasonality"
"BC","PEAT",2063,"PEAT_BC_seasonality"
"BC","PEAT",2064,"PEAT_BC_seasonality"
"BC","PEAT",2065,"PEAT_BC_seasonality"
"BC","PEAT",2066,"PEAT_BC_seasonality"
"BC","PEAT",2067,"PEAT_BC_seasonality"
"BC","PEAT",2068,"PEAT_BC_seasonality"
"BC","PEAT",2069,"PEAT_BC_seasonality"
"BC","PEAT",2070,"PEAT_BC_seasonality"
"BC","PEAT",2071,"PEAT_BC_seasonality"
"BC","PEAT",2072,"PEAT_BC_seasonality"
"BC","PEAT",2073,"PEAT_BC_seasonality"
"BC","PEAT",2074,"PEAT_BC_seasonality"
"BC","PEAT",2075,"PEAT_BC_seasonality"
"BC","PEAT",2076,"PEAT_BC_seasonality"
"BC","PEAT",2077,"PEAT_BC_seasonality"
"BC","PEAT",2078,"PEAT_BC_seasonality"
"BC","PEAT",2079,"PEAT_BC_seasonality"
"BC","PEAT",2080,"PEAT_BC_seasonality"
"BC","PEAT",2081,"PEAT_BC_seasonality"
"BC","PEAT",2082,"PEAT_BC_seasonality"
"BC","PEAT",2083,"PEAT_BC_seasonality"
"BC","PEAT",2084,"PEAT_BC_seasonality"
"BC","PEAT",2085,"PEAT_BC_seasonality"
"BC","PEAT",2086,"PEAT_BC_seasonality"
"BC","PEAT",2087,"PEAT_BC_seasonality"
"BC","PEAT",2088,"PEAT_BC_seasonality"
"BC","PEAT",2089,"PEAT_BC_seasonality"
"BC","PEAT",2090,"PEAT_BC_seasonality"
"BC","PEAT",2091,"PEAT_BC_seasonality"
"BC","PEAT",2092,"PEAT_BC_seasonality"
"BC","PEAT",2093,"PEAT_BC_seasonality"
"BC","PEAT",2094,"PEAT_BC_seasonality"
"BC","PEAT",2095,"PEAT_BC_seasonality"
"BC","PEAT",2096,"PEAT_BC_seasonality"
"BC","PEAT",2097,"PEAT_BC_seasonality"
"BC","PEAT",2098,"PEAT_BC_seasonality"
"BC","PEAT",2099,"PEAT_BC_seasonality"
"BC","PEAT",2100,"PEAT_BC_seasonality"
"CH4","AWB",2015,"AWB_CH4_seasonality"
"CH4","AWB",2016,"AWB_CH4_seasonality"
"CH4","AWB",2017,"AWB_CH4_seasonality"
"CH4","AWB",2018,"AWB_CH4_seasonality"
"CH4","AWB",2019,"AWB_CH4_seasonality"
"CH4","AWB",2020,"AWB_CH4_seasonality"
"CH4","AWB",2021,"AWB_CH4_seasonality"
"CH4","AWB",2022,"AWB_CH4_seasonality"
"CH4","AWB",2023,"AWB_CH4_seasonality"
"CH4","AWB",2024,"AWB_CH4_seasonality"
"CH4","AWB",2025,"AWB_CH4_seasonality"
"CH4","AWB",2026,"AWB_CH4_seasonality"
"CH4","AWB",2027,"AWB_CH4_seasonality"
"CH4","AWB",2028,"AWB_CH4_seasonality"
"CH4","AWB",2029,"AWB_CH4_seasonality"
"CH4","AWB",2030,"AWB_CH4_seasonality"
"CH4","AWB",2031,"AWB_CH4_seasonality"
"CH4","AWB",2032,"AWB_CH4_seasonality"
"CH4","AWB",2033,"AWB_CH4_seasonality"
"CH4","AWB",2034,"AWB_CH4_seasonality"
"CH4","AWB",2035,"AWB_CH4_seasonality"
"CH4","AWB",2036,"AWB_CH4_seasonality"
"CH4","AWB",2037,"AWB_CH4_seasonality"
"CH4","AWB",2038,"AWB_CH4_seasonality"
"CH4","AWB",2039,"AWB_CH4_seasonality"
"CH4","AWB",2040,"AWB_CH4_seasonality"
"CH4","AWB",2041,"AWB_CH4_seasonality"
"CH4","AWB",2042,"AWB_CH4_seasonality"
"CH4","AWB",2043,"AWB_CH4_seasonality"
"CH4","AWB",2044,"AWB_CH4_seasonality"
"CH4","AWB",2045,"AWB_CH4_seasonality"
"CH4","AWB",2046,"AWB_CH4_seasonality"
"CH4","AWB",2047,"AWB_CH4_seasonality"
"CH4","AWB",2048,"AWB_CH4_seasonality"
"CH4","AWB",2049,"AWB_CH4_seasonality"
"CH4","AWB",2050,"AWB_CH4_seasonality"
"CH4","AWB",2051,"AWB_CH4_seasonality"
"CH4","AWB",2052,"AWB_CH4_seasonality"
"CH4","AWB",2053,"AWB_CH4_seasonality"
"CH4","AWB",2054,"AWB_CH4_seasonality"
"CH4","AWB",2055,"AWB_CH4_seasonality"
"CH4","AWB",2056,"AWB_CH4_seasonality"
"CH4","AWB",2057,"AWB_CH4_seasonality"
"CH4","AWB",2058,"AWB_CH4_seasonality"
"CH4","AWB",2059,"AWB_CH4_seasonality"
"CH4","AWB",2060,"AWB_CH4_seasonality"
"CH4","AWB",2061,"AWB_CH4_seasonality"
"CH4","AWB",2062,"AWB_CH4_seasonality"
"CH4","AWB",2063,"AWB_CH4_seasonality"
"CH4","AWB",2064,"AWB_CH4_seasonality"
"CH4","AWB",2065,"AWB_CH4_seasonality"
"CH4","AWB",2066,"AWB_CH4_seasonality"
"CH4","AWB",2067,"AWB_CH4_seasonality"
"CH4","AWB",2068,"AWB_CH4_seasonality"
"CH4","AWB",2069,"AWB_CH4_seasonality"
"CH4","AWB",2070,"AWB_CH4_seasonality"
"CH4","AWB",2071,"AWB_CH4_seasonality"
"CH4","AWB",2072,"AWB_CH4_seasonality"
"CH4","AWB",2073,"AWB_CH4_seasonality"
"CH4","AWB",2074,"AWB_CH4_seasonality"
"CH4","AWB",2075,"AWB_CH4_seasonality"
"CH4","AWB",2076,"AWB_CH4_seasonality"
"CH4","AWB",2077,"AWB_CH4_seasonality"
"CH4","AWB",2078,"AWB_CH4_seasonality"
"CH4","AWB",2079,"AWB_CH4_seasonality"
"CH4","AWB",2080,"AWB_CH4_seasonality"
"CH4","AWB",2081,"AWB_CH4_seasonality"
"CH4","AWB",2082,"AWB_CH4_seasonality"
"CH4","AWB",2083,"AWB_CH4_seasonality"
"CH4","AWB",2084,"AWB_CH4_seasonality"
"CH4","AWB",2085,"AWB_CH4_seasonality"
"CH4","AWB",2086,"AWB_CH4_seasonality"
"CH4","AWB",2087,"AWB_CH4_seasonality"
"CH4","AWB",2088,"AWB_CH4_seasonality"
"CH4","AWB",2089,"AWB_CH4_seasonality"
"CH4","AWB",2090,"AWB_CH4_seasonality"
"CH4","AWB",2091,"AWB_CH4_seasonality"
"CH4","AWB",2092,"AWB_CH4_seasonality"
"CH4","AWB",2093,"AWB_CH4_seasonality"
"CH4","AWB",2094,"AWB_CH4_seasonality"
"CH4","AWB",2095,"AWB_CH4_seasonality"
"CH4","AWB",2096,"AWB_CH4_seasonality"
"CH4","AWB",2097,"AWB_CH4_seasonality"
"CH4","AWB",2098,"AWB_CH4_seasonality"
"CH4","AWB",2099,"AWB_CH4_seasonality"
"CH4","AWB",2100,"AWB_CH4_seasonality"
"CH4","FRTB",2015,"FRTB_CH4_seasonality"
"CH4","FRTB",2016,"FRTB_CH4_seasonality"
"CH4","FRTB",2017,"FRTB_CH4_seasonality"
"CH4","FRTB",2018,"FRTB_CH4_seasonality"
"CH4","FRTB",2019,"FRTB_CH4_seasonality"
"CH4","FRTB",2020,"FRTB_CH4_seasonality"
"CH4","FRTB",2021,"FRTB_CH4_seasonality"
"CH4","FRTB",2022,"FRTB_CH4_seasonality"
"CH4","FRTB",2023,"FRTB_CH4_seasonality"
"CH4","FRTB",2024,"FRTB_CH4_seasonality"
"CH4","FRTB",2025,"FRTB_CH4_seasonality"
"CH4","FRTB",2026,"FRTB_CH4_seasonality"
"CH4","FRTB",2027,"FRTB_CH4_seasonality"
"CH4","FRTB",2028,"FRTB_CH4_seasonality"
"CH4","FRTB",2029,"FRTB_CH4_seasonality"
"CH4","FRTB",2030,"FRTB_CH4_seasonality"
"CH4","FRTB",2031,"FRTB_CH4_seasonality"
"CH4","FRTB",2032,"FRTB_CH4_seasonality"
"CH4","FRTB",2033,"FRTB_CH4_seasonality"
"CH4","FRTB",2034,"FRTB_CH4_seasonality"
"CH4","FRTB",2035,"FRTB_CH4_seasonality"
"CH4","FRTB",2036,"FRTB_CH4_seasonality"
"CH4","FRTB",2037,"FRTB_CH4_seasonality"
"CH4","FRTB",2038,"FRTB_CH4_seasonality"
"CH4","FRTB",2039,"FRTB_CH4_seasonality"
"CH4","FRTB",2040,"FRTB_CH4_seasonality"
"CH4","FRTB",2041,"FRTB_CH4_seasonality"
"CH4","FRTB",2042,"FRTB_CH4_seasonality"
"CH4","FRTB",2043,"FRTB_CH4_seasonality"
"CH4","FRTB",2044,"FRTB_CH4_seasonality"
"CH4","FRTB",2045,"FRTB_CH4_seasonality"
"CH4","FRTB",2046,"FRTB_CH4_seasonality"
"CH4","FRTB",2047,"FRTB_CH4_seasonality"
"CH4","FRTB",2048,"FRTB_CH4_seasonality"
"CH4","FRTB",2049,"FRTB_CH4_seasonality"
"CH4","FRTB",2050,"FRTB_CH4_seasonality"
"CH4","FRTB",2051,"FRTB_CH4_seasonality"
"CH4","FRTB",2052,"FRTB_CH4_seasonality"
"CH4","FRTB",2053,"FRTB_CH4_seasonality"
"CH4","FRTB",2054,"FRTB_CH4_seasonality"
"CH4","FRTB",2055,"FRTB_CH4_seasonality"
"CH4","FRTB",2056,"FRTB_CH4_seasonality"
"CH4","FRTB",2057,"FRTB_CH4_seasonality"
"CH4","FRTB",2058,"FRTB_CH4_seasonality"
"CH4","FRTB",2059,"FRTB_CH4_seasonality"
"CH4","FRTB",2060,"FRTB_CH4_seasonality"
"CH4","FRTB",2061,"FRTB_CH4_seasonality"
"CH4","FRTB",2062,"FRTB_CH4_seasonality"
"CH4","FRTB",2063,"FRTB_CH4_seasonality"
"CH4","FRTB",2064,"FRTB_CH4_seasonality"
"CH4","FRTB",2065,"FRTB_CH4_seasonality"
"CH4","FRTB",2066,"FRTB_CH4_seasonality"
"CH4","FRTB",2067,"FRTB_CH4_seasonality"
"CH4","FRTB",2068,"FRTB_CH4_seasonality"
"CH4","FRTB",2069,"FRTB_CH4_seasonality"
"CH4","FRTB",2070,"FRTB_CH4_seasonality"
"CH4","FRTB",2071,"FRTB_CH4_seasonality"
"CH4","FRTB",2072,"FRTB_CH4_seasonality"
"CH4","FRTB",2073,"FRTB_CH4_seasonality"
"CH4","FRTB",2074,"FRTB_CH4_seasonality"
"CH4","FRTB",2075,"FRTB_CH4_seasonality"
"CH4","FRTB",2076,"FRTB_CH4_seasonality"
"CH4","FRTB",2077,"FRTB_CH4_seasonality"
"CH4","FRTB",2078,"FRTB_CH4_seasonality"
"CH4","FRTB",2079,"FRTB_CH4_seasonality"
"CH4","FRTB",2080,"FRTB_CH4_seasonality"
"CH4","FRTB",2081,"FRTB_CH4_seasonality"
"CH4","FRTB",2082,"FRTB_CH4_seasonality"
"CH4","FRTB",2083,"FRTB_CH4_seasonality"
"CH4","FRTB",2084,"FRTB_CH4_seasonality"
"CH4","FRTB",2085,"FRTB_CH4_seasonality"
"CH4","FRTB",2086,"FRTB_CH4_seasonality"
"CH4","FRTB",2087,"FRTB_CH4_seasonality"
"CH4","FRTB",2088,"FRTB_CH4_seasonality"
"CH4","FRTB",2089,"FRTB_CH4_seasonality"
"CH4","FRTB",2090,"FRTB_CH4_seasonality"
"CH4","FRTB",2091,"FRTB_CH4_seasonality"
"CH4","FRTB",2092,"FRTB_CH4_seasonality"
"CH4","FRTB",2093,"FRTB_CH4_seasonality"
"CH4","FRTB",2094,"FRTB_CH4_seasonality"
"CH4","FRTB",2095,"FRTB_CH4_seasonality"
"CH4","FRTB",2096,"FRTB_CH4_seasonality"
"CH4","FRTB",2097,"FRTB_CH4_seasonality"
"CH4","FRTB",2098,"FRTB_CH4_seasonality"
"CH4","FRTB",2099,"FRTB_CH4_seasonality"
"CH4","FRTB",2100,"FRTB_CH4_seasonality"
"CH4","GRSB",2015,"GRSB_CH4_seasonality"
