"em","sector","year","proxy_file","proxybackup_file"
"BC","AGR",2015,"BC_2015_AGR","population_2015"
"BC","AGR",2016,"BC_2015_AGR","population_2015"
"BC","AGR",2017,"BC_2015_AGR","population_2015"
"BC","AGR",2018,"BC_2015_AGR","population_2015"
"BC","AGR",2019,"BC_2015_AGR","population_2015"
"BC","AGR",2020,"BC_2015_AGR","population_2015"
"BC","AGR",2021,"BC_2015_AGR","population_2015"
"BC","AGR",2022,"BC_2015_AGR","population_2015"
"BC","AGR",2023,"BC_2015_AGR","population_2015"
"BC","AGR",2024,"BC_2015_AGR","population_2015"
"BC","AGR",2025,"BC_2015_AGR","population_2015"
"BC","AGR",2026,"BC_2015_AGR","population_2015"
"BC","AGR",2027,"BC_2015_AGR","population_2015"
"BC","AGR",2028,"BC_2015_AGR","population_2015"
"BC","AGR",2029,"BC_2015_AGR","population_2015"
"BC","AGR",2030,"BC_2015_AGR","population_2015"
"BC","AGR",2031,"BC_2015_AGR","population_2015"
"BC","AGR",2032,"BC_2015_AGR","population_2015"
"BC","AGR",2033,"BC_2015_AGR","population_2015"
"BC","AGR",2034,"BC_2015_AGR","population_2015"
"BC","AGR",2035,"BC_2015_AGR","population_2015"
"BC","AGR",2036,"BC_2015_AGR","population_2015"
"BC","AGR",2037,"BC_2015_AGR","population_2015"
"BC","AGR",2038,"BC_2015_AGR","population_2015"
"BC","AGR",2039,"BC_2015_AGR","population_2015"
"BC","AGR",2040,"BC_2015_AGR","population_2015"
"BC","AGR",2041,"BC_2015_AGR","population_2015"
"BC","AGR",2042,"BC_2015_AGR","population_2015"
"BC","AGR",2043,"BC_2015_AGR","population_2015"
"BC","AGR",2044,"BC_2015_AGR","population_2015"
"BC","AGR",2045,"BC_2015_AGR","population_2015"
"BC","AGR",2046,"BC_2015_AGR","population_2015"
"BC","AGR",2047,"BC_2015_AGR","population_2015"
"BC","AGR",2048,"BC_2015_AGR","population_2015"
"BC","AGR",2049,"BC_2015_AGR","population_2015"
"BC","AGR",2050,"BC_2015_AGR","population_2015"
"BC","AGR",2051,"BC_2015_AGR","population_2015"
"BC","AGR",2052,"BC_2015_AGR","population_2015"
"BC","AGR",2053,"BC_2015_AGR","population_2015"
"BC","AGR",2054,"BC_2015_AGR","population_2015"
"BC","AGR",2055,"BC_2015_AGR","population_2015"
"BC","AGR",2056,"BC_2015_AGR","population_2015"
"BC","AGR",2057,"BC_2015_AGR","population_2015"
"BC","AGR",2058,"BC_2015_AGR","population_2015"
"BC","AGR",2059,"BC_2015_AGR","population_2015"
"BC","AGR",2060,"BC_2015_AGR","population_2015"
"BC","AGR",2061,"BC_2015_AGR","population_2015"
"BC","AGR",2062,"BC_2015_AGR","population_2015"
"BC","AGR",2063,"BC_2015_AGR","population_2015"
"BC","AGR",2064,"BC_2015_AGR","population_2015"
"BC","AGR",2065,"BC_2015_AGR","population_2015"
"BC","AGR",2066,"BC_2015_AGR","population_2015"
"BC","AGR",2067,"BC_2015_AGR","population_2015"
"BC","AGR",2068,"BC_2015_AGR","population_2015"
"BC","AGR",2069,"BC_2015_AGR","population_2015"
"BC","AGR",2070,"BC_2015_AGR","population_2015"
"BC","AGR",2071,"BC_2015_AGR","population_2015"
"BC","AGR",2072,"BC_2015_AGR","population_2015"
"BC","AGR",2073,"BC_2015_AGR","population_2015"
"BC","AGR",2074,"BC_2015_AGR","population_2015"
"BC","AGR",2075,"BC_2015_AGR","population_2015"
"BC","AGR",2076,"BC_2015_AGR","population_2015"
"BC","AGR",2077,"BC_2015_AGR","population_2015"
"BC","AGR",2078,"BC_2015_AGR","population_2015"
