cell_id,loc,row,col,lat,lon
15220,shipping_box,100,43,40.25,-158.75
15221,shipping_box,101,43,39.75,-158.75
15222,shipping_box,102,43,39.25,-158.75
15223,shipping_box,103,43,38.75,-158.75
15224,shipping_box,104,43,38.25,-158.75
15225,shipping_box,105,43,37.75,-158.75
15226,shipping_box,106,43,37.25,-158.75
71743,usa_random_cell,103,200,38.75,-80.25
188772,ind_random_cell,132,525,24.25,82.25
209638,chn_random_cell,118,583,31.25,111.25
193385,rus_random_cell,65,538,57.75,88.75
140458,fin_random_cell,58,391,61.25,15.25
102794,bra_random_cell,194,286,-6.75,-37.25
73172,can_random_cell,92,204,44.25,-78.25
56655,mex_random_cell,135,158,22.75,-101.25
149993,zaf_random_cell,233,417,-26.25,28.25
159193,rus_random_cell,73,443,53.75,41.25
