cell_id,loc,row,col,lat,lon
73903,us_east_coast,103,206,38.75,-77.25
74263,us_east_coast,103,207,38.75,-76.75
73902,us_east_coast,102,206,39.25,-77.25
74262,us_east_coast,102,207,39.25,-76.75
74622,us_east_coast,102,208,39.25,-76.25
74621,us_east_coast,101,208,39.75,-76.25
74981,us_east_coast,101,209,39.75,-75.75
75341,us_east_coast,101,210,39.75,-75.25
75701,us_east_coast,101,211,39.75,-74.75
75340,us_east_coast,100,210,40.25,-75.25
75700,us_east_coast,100,211,40.25,-74.75
76060,us_east_coast,100,212,40.25,-74.25
76059,us_east_coast,99,212,40.75,-74.25
76419,us_east_coast,99,213,40.75,-73.75
76779,us_east_coast,99,214,40.75,-73.25
76418,us_east_coast,98,213,41.25,-73.75
76778,us_east_coast,98,214,41.25,-73.25
77138,us_east_coast,98,215,41.25,-72.75
77137,us_east_coast,97,215,41.75,-72.75
77497,us_east_coast,97,216,41.75,-72.25
77857,us_east_coast,97,217,41.75,-71.75
77856,us_east_coast,96,217,42.25,-71.75
78216,us_east_coast,96,218,42.25,-71.25
77855,us_east_coast,95,217,42.75,-71.75
78215,us_east_coast,95,218,42.75,-71.25
64900,us_mid_west,100,181,40.25,-89.75
65260,us_mid_west,100,182,40.25,-89.25
65620,us_mid_west,100,183,40.25,-88.75
65980,us_mid_west,100,184,40.25,-88.25
66340,us_mid_west,100,185,40.25,-87.75
64899,us_mid_west,99,181,40.75,-89.75
65259,us_mid_west,99,182,40.75,-89.25
65619,us_mid_west,99,183,40.75,-88.75
65979,us_mid_west,99,184,40.75,-88.25
66339,us_mid_west,99,185,40.75,-87.75
64898,us_mid_west,98,181,41.25,-89.75
65258,us_mid_west,98,182,41.25,-89.25
65618,us_mid_west,98,183,41.25,-88.75
65978,us_mid_west,98,184,41.25,-88.25
66338,us_mid_west,98,185,41.25,-87.75
64897,us_mid_west,97,181,41.75,-89.75
65257,us_mid_west,97,182,41.75,-89.25
65617,us_mid_west,97,183,41.75,-88.75
65977,us_mid_west,97,184,41.75,-88.25
66337,us_mid_west,97,185,41.75,-87.75
64896,us_mid_west,96,181,42.25,-89.75
65256,us_mid_west,96,182,42.25,-89.25
65616,us_mid_west,96,183,42.25,-88.75
65976,us_mid_west,96,184,42.25,-88.25
66336,us_mid_west,96,185,42.25,-87.75
213223,beijing,103,593,38.75,116.25
213583,beijing,103,594,38.75,116.75
213943,beijing,103,595,38.75,117.25
214303,beijing,103,596,38.75,117.75
213222,beijing,102,593,39.25,116.25
213582,beijing,102,594,39.25,116.75
213942,beijing,102,595,39.25,117.25
214302,beijing,102,596,39.25,117.75
213221,beijing,101,593,39.75,116.25
213581,beijing,101,594,39.75,116.75
213941,beijing,101,595,39.75,117.25
214301,beijing,101,596,39.75,117.75
213220,beijing,100,593,40.25,116.25
213580,beijing,100,594,40.25,116.75
213940,beijing,100,595,40.25,117.25
214300,beijing,100,596,40.25,117.75
133280,bel_deu_nld,80,371,50.25,5.25
133640,bel_deu_nld,80,372,50.25,5.75
134000,bel_deu_nld,80,373,50.25,6.25
134360,bel_deu_nld,80,374,50.25,6.75
133279,bel_deu_nld,79,371,50.75,5.25
133639,bel_deu_nld,79,372,50.75,5.75
133999,bel_deu_nld,79,373,50.75,6.25
134359,bel_deu_nld,79,374,50.75,6.75
133278,bel_deu_nld,78,371,51.25,5.25
133638,bel_deu_nld,78,372,51.25,5.75
133998,bel_deu_nld,78,373,51.25,6.25
134358,bel_deu_nld,78,374,51.25,6.75
133277,bel_deu_nld,77,371,51.75,5.25
133637,bel_deu_nld,77,372,51.75,5.75
133997,bel_deu_nld,77,373,51.75,6.25
134357,bel_deu_nld,77,374,51.75,6.75
103517,brazil,197,288,-8.25,-36.25
103877,brazil,197,289,-8.25,-35.75
104237,brazil,197,290,-8.25,-35.25
104597,brazil,197,291,-8.25,-34.75
103516,brazil,196,288,-7.75,-36.25
103876,brazil,196,289,-7.75,-35.75
104236,brazil,196,290,-7.75,-35.25
104596,brazil,196,291,-7.75,-34.75
103515,brazil,195,288,-7.25,-36.25
103875,brazil,195,289,-7.25,-35.75
104235,brazil,195,290,-7.25,-35.25
104595,brazil,195,291,-7.25,-34.75
103514,brazil,194,288,-6.75,-36.25
103874,brazil,194,289,-6.75,-35.75
104234,brazil,194,290,-6.75,-35.25
129319,south_uk,79,360,50.75,-0.25
129679,south_uk,79,361,50.75,0.25
130039,south_uk,79,362,50.75,0.75
129318,south_uk,78,360,51.25,-0.25
129678,south_uk,78,361,51.25,0.25
130038,south_uk,78,362,51.25,0.75
130398,south_uk,78,363,51.25,1.25
129317,south_uk,77,360,51.75,-0.25
129677,south_uk,77,361,51.75,0.25
130037,south_uk,77,362,51.75,0.75
130397,south_uk,77,363,51.75,1.25
129316,south_uk,76,360,52.25,-0.25
129676,south_uk,76,361,52.25,0.25
130036,south_uk,76,362,52.25,0.75
130396,south_uk,76,363,52.25,1.25
187365,south_india,165,521,7.75,80.25
185204,south_india,164,515,8.25,77.25
185564,south_india,164,516,8.25,77.75
185924,south_india,164,517,8.25,78.25
187364,south_india,164,521,8.25,80.25
185203,south_india,163,515,8.75,77.25
185563,south_india,163,516,8.75,77.75
185923,south_india,163,517,8.75,78.25
185202,south_india,162,515,9.25,77.25
185562,south_india,162,516,9.25,77.75
185922,south_india,162,517,9.25,78.25
186282,south_india,162,518,9.25,78.75
185201,south_india,161,515,9.75,77.25
185561,south_india,161,516,9.75,77.75
185921,south_india,161,517,9.75,78.25
186281,south_india,161,518,9.75,78.75
152684,murmansk,44,425,68.25,32.25
153044,murmansk,44,426,68.25,32.75
153404,murmansk,44,427,68.25,33.25
153764,murmansk,44,428,68.25,33.75
152683,murmansk,43,425,68.75,32.25
153043,murmansk,43,426,68.75,32.75
153403,murmansk,43,427,68.75,33.25
153763,murmansk,43,428,68.75,33.75
152682,murmansk,42,425,69.25,32.25
153042,murmansk,42,426,69.25,32.75
153402,murmansk,42,427,69.25,33.25
153762,murmansk,42,428,69.25,33.75
152681,murmansk,41,425,69.75,32.25
153041,murmansk,41,426,69.75,32.75
153401,murmansk,41,427,69.75,33.25
12698,shipping_box,98,36,41.25,-162.25
12699,shipping_box,99,36,40.75,-162.25
12700,shipping_box,100,36,40.25,-162.25
12701,shipping_box,101,36,39.75,-162.25
12702,shipping_box,102,36,39.25,-162.25
12703,shipping_box,103,36,38.75,-162.25
12704,shipping_box,104,36,38.25,-162.25
12705,shipping_box,105,36,37.75,-162.25
12706,shipping_box,106,36,37.25,-162.25
13058,shipping_box,98,37,41.25,-161.75
13059,shipping_box,99,37,40.75,-161.75
13060,shipping_box,100,37,40.25,-161.75
13061,shipping_box,101,37,39.75,-161.75
13062,shipping_box,102,37,39.25,-161.75
13063,shipping_box,103,37,38.75,-161.75
13064,shipping_box,104,37,38.25,-161.75
13065,shipping_box,105,37,37.75,-161.75
13066,shipping_box,106,37,37.25,-161.75
13418,shipping_box,98,38,41.25,-161.25
13419,shipping_box,99,38,40.75,-161.25
13420,shipping_box,100,38,40.25,-161.25
13421,shipping_box,101,38,39.75,-161.25
13422,shipping_box,102,38,39.25,-161.25
13423,shipping_box,103,38,38.75,-161.25
13424,shipping_box,104,38,38.25,-161.25
13425,shipping_box,105,38,37.75,-161.25
13426,shipping_box,106,38,37.25,-161.25
13778,shipping_box,98,39,41.25,-160.75
13779,shipping_box,99,39,40.75,-160.75
13780,shipping_box,100,39,40.25,-160.75
13781,shipping_box,101,39,39.75,-160.75
13782,shipping_box,102,39,39.25,-160.75
13783,shipping_box,103,39,38.75,-160.75
13784,shipping_box,104,39,38.25,-160.75
13785,shipping_box,105,39,37.75,-160.75
13786,shipping_box,106,39,37.25,-160.75
14138,shipping_box,98,40,41.25,-160.25
14139,shipping_box,99,40,40.75,-160.25
14140,shipping_box,100,40,40.25,-160.25
14141,shipping_box,101,40,39.75,-160.25
14142,shipping_box,102,40,39.25,-160.25
14143,shipping_box,103,40,38.75,-160.25
14144,shipping_box,104,40,38.25,-160.25
14145,shipping_box,105,40,37.75,-160.25
14146,shipping_box,106,40,37.25,-160.25
14498,shipping_box,98,41,41.25,-159.75
14499,shipping_box,99,41,40.75,-159.75
14500,shipping_box,100,41,40.25,-159.75
14501,shipping_box,101,41,39.75,-159.75
14502,shipping_box,102,41,39.25,-159.75
14503,shipping_box,103,41,38.75,-159.75
14504,shipping_box,104,41,38.25,-159.75
14505,shipping_box,105,41,37.75,-159.75
14506,shipping_box,106,41,37.25,-159.75
14858,shipping_box,98,42,41.25,-159.25
14859,shipping_box,99,42,40.75,-159.25
14860,shipping_box,100,42,40.25,-159.25
14861,shipping_box,101,42,39.75,-159.25
14862,shipping_box,102,42,39.25,-159.25
14863,shipping_box,103,42,38.75,-159.25
14864,shipping_box,104,42,38.25,-159.25
14865,shipping_box,105,42,37.75,-159.25
14866,shipping_box,106,42,37.25,-159.25
15218,shipping_box,98,43,41.25,-158.75
15219,shipping_box,99,43,40.75,-158.75
