iso,sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
bra,ELEC,0.047714914,0.003455378,0.044893707,0.120039813,0.169766713,0.084038906,0.004816388,0.001810552,0.001949988,0.022249669,0.050656349,0.049421702,0.054657403,0.006211228,0.021295637,0,0,0,0.06597142,0.010078387,0.01531272,0.065154513,0.160504613
brb,ELEC,0.06430818,0,0.00651507,0.039023287,0.028937015,0.044654868,0,0,0,0.005278937,0.007351355,0.014975502,0.005580766,0.008315711,0,0,0,0,0.038402903,0.013520901,0.020543145,0.073917447,0.628674913
brn,ELEC,0.000513687,3.57E-05,0.095035222,0.213976008,0.376276067,0.044046936,0.003715778,1.90E-05,2.05E-05,0.000233806,0.107234115,0.059157004,0.000571202,6.64E-05,0.000221319,0,0,0,0.093181934,0.000107982,0.000164063,0.000697571,0.004725624
btn,ELEC,0.112530678,0,0.008808718,0.062445533,0.040389275,0.076957901,0.009815379,0,0,0.009228694,0.009939422,0.02457088,0.009756356,0.014562638,0,0,0,0,0.064663527,0.023653362,0.035938024,0.1293456,0.367394014
bwa,ELEC,0.060666205,0,0,0.051815698,0.029787767,0.107636462,0,0,0,0.038307493,0,0.040810668,0.107994068,0,0.040229575,0,0,0,0.036951614,0.015698474,0.023851667,0.087611089,0.35863922
caf,ELEC,0.055176917,0.006504794,0.011085253,0.047688271,0.027092464,0.102450502,0.00720445,0.004064819,0.004377862,0.040648189,0.012508176,0.043304312,0.101905732,0.007317893,0.040858234,0,0,0,0.034963269,0.011898351,0.018077904,0.08374923,0.339123378
can,ELEC,0.007102428,0.007383397,0.062657301,0.145757237,0.226271338,0.103412922,0.001708228,0.003954733,0.004259297,0.040135777,0.070700103,0.069088611,0.109328957,0.000919051,0.045687945,0,0,0,0.061124302,0.001493279,0.002268831,0.030314962,0.006431299
che,ELEC,0.019683975,0,0.083171117,0.194538834,0.330329196,0.050715929,0.003066884,0,0,0.001613416,0.093847113,0.054923578,0.001705665,0.002545342,0,0,0,0,0.09114411,0.004138537,0.006287936,0.022625258,0.03966311
chl,ELEC,0.004833421,0.006144317,0.066471312,0.153119089,0.244989055,0.09190895,0.005525684,0.003294169,0.003547862,0.033317898,0.075003685,0.066199824,0.090904244,0.000624405,0.038028438,0,0,0,0.064343223,0.001016302,0.001544131,0.023993848,0.025190145
chn,ELEC,0.004446538,0.017597055,0.021058399,0.054112603,0.030679366,0.179811759,0.008570835,0.009425438,0.010151318,0.094619259,0.023761494,0.082987443,0.259458669,0.000574989,0.108881842,0,0,0,0.014011224,0.000934869,0.001420404,0.057902145,0.019594352
civ,ELEC,0.008945399,0,0.091503325,0.209216302,0.362808419,0.047559781,0,0,0,0.000734495,0.10324886,0.058259835,0.000776491,0.001156249,0,0,0,0,0.093945111,0.001880667,0.002857415,0.010282069,0.006825582
cmr,ELEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cod,ELEC,0.076125991,0,0,0.040250523,0.040493583,0.044236687,0.008660623,0,0,0,0,0,0,0,0,0,0,0,0.043750574,0.021340557,0.032424035,0.087501148,0.60521628
cog,ELEC,0.1838659,0,0,0.089738262,0.090280158,0.11379852,0,0,0,0,0,0,0,0,0,0,0,0,0.101154244,0.047578624,0.072289158,0.211340111,0.089955022
cok,ELEC,0.112510349,0,0.008815752,0.062464664,0.040395438,0.076952143,0.009828257,0,0,0.009236063,0.009947358,0.024595782,0.009764146,0.014539816,0,0,0,0,0.064663219,0.023655957,0.035941969,0.129322248,0.367366839
col,ELEC,0.001520569,0.001252184,0.089614382,0.2025122,0.351201321,0.053776736,0.008645449,0.00067121,0.000722902,0.006822103,0.101117441,0.060742974,0.018542955,0.000195743,0.007737726,0,0,0,0.087773619,0.000319829,0.000485936,0.005499342,0.000845379
com,ELEC,0.055578632,0.006586748,0.011084404,0.047866448,0.026799663,0.103652735,0.009058073,0.003523008,0.003794325,0.039786901,0.012507219,0.042183583,0.101705863,0.007178195,0.040729151,0,0,0,0.035233942,0.01168664,0.017756237,0.083622645,0.339665589
cpv,ELEC,0.055586951,0.00657079,0.011060808,0.047872659,0.026829559,0.103670719,0.009075375,0.003534849,0.003807077,0.039805465,0.012480593,0.042144551,0.101742731,0.007198458,0.040705183,0,0,0,0.035235501,0.011683166,0.01775096,0.083605431,0.339639175
cri,ELEC,0.019306665,0,0.001505051,0.010714267,0.006932217,0.013203093,0,0,0,0.001576808,0.001698243,0.004216186,0.001666964,0.002489334,0,0,0,0,0.0110976,0.004057215,0.006164378,0.022191569,0.893180409
cub,ELEC,0.161283635,0,0.013085244,0.090548424,0.059684654,0.110507364,0.000303435,0,0,0.013239614,0.014764891,0.035540008,0.013996605,0.020855729,0,0,0,0,0.093130153,0.033909697,0.051521114,0.18538349,0.102245942
cuw,ELEC,0.158471141,0,0.012416526,0.087978842,0.056899225,0.10837968,0,0,0,0.013008511,0.014010333,0.034646657,0.013752289,0.020491919,0,0,0,0,0.091075408,0.033318327,0.050622602,0.182150741,0.1227778
cym,ELEC,0.103969688,0.000495226,0.008652722,0.059002479,0.03784627,0.076045612,0,0.000265124,0.000285542,0.01118691,0.009763401,0.024991607,0.016313425,0.013444262,0.003063799,0,0,0,0.060000313,0.021859576,0.03321261,0.120991235,0.398610198
cyp,ELEC,0.159685127,0,0.012511699,0.088652755,0.057335352,0.109209894,0.005322974,0,0,0.013108222,0.014117723,0.034912026,0.013857701,0.020648988,0,0,0,0,0.091772938,0.033573572,0.051010417,0.183546143,0.110734468
cze,ELEC,0.004708415,0.015504135,0.030838592,0.075609481,0.075719198,0.16454472,0.007079071,0.008304403,0.008943948,0.08343048,0.034797089,0.080869091,0.228667991,0.000608895,0.09593168,0,0,0,0.024753051,0.000989959,0.001504106,0.051924347,0.005271348
deu,ELEC,0.003976146,0.013279082,0.039958993,0.095207729,0.118495719,0.147074897,0.004052826,0.007112373,0.007660117,0.071451719,0.045088203,0.077652887,0.195844238,0.000514167,0.082163414,0,0,0,0.034420713,0.000835991,0.001270173,0.044407146,0.009533468
dji,ELEC,0.05557263,0.006624238,0.011127536,0.048188496,0.026801669,0.103437484,0.008840983,0.003446733,0.003712176,0.039840181,0.012555887,0.042119509,0.10159784,0.007132884,0.040668095,0,0,0,0.035203096,0.011736019,0.017831265,0.08346541,0.340097869
dma,ELEC,0.064308787,0,0.006515887,0.039023799,0.028937534,0.044654874,0,0,0,0.005278303,0.007352278,0.014974492,0.005580096,0.008315089,0,0,0,0,0.03840257,0.013520212,0.020542099,0.073918144,0.628675837
dnk,ELEC,0.003188,0.007356867,0.064355062,0.148082365,0.23288422,0.101389229,0.005021555,0.003940496,0.004243964,0.039666927,0.07261579,0.069366785,0.108588086,0.000412194,0.04552063,0,0,0,0.06084836,0.000670196,0.001018271,0.025734929,0.005096076
dom,ELEC,0.103969688,0.000495226,0.008652722,0.059002479,0.03784627,0.076045612,0,0.000265124,0.000285542,0.01118691,0.009763401,0.024991607,0.016313425,0.013444262,0.003063799,0,0,0,0.060000313,0.021859576,0.03321261,0.120991235,0.398610198
dza,ELEC,0,0,0.094955218,0.213563494,0.376013862,0.043341363,0,0,0,0,0.107143845,0.058875097,0,0,0,0,0,0,0.092848521,0,0,0,0.013258599
ecu,ELEC,0.128859867,0,0.010096413,0.071540068,0.046267601,0.088127802,0,0,0,0.010577782,0.011392407,0.028172226,0.01118258,0.016663001,0,0,0,0,0.074057589,0.027092875,0.041163889,0.148114791,0.28669111
egy,ELEC,0.02045224,0,0.085085397,0.199205466,0.337995488,0.052053141,0,0,0,0.001693831,0.096007113,0.056187605,0.001790678,0.00265079,0,0,0,0,0.093397711,0.004287304,0.006513967,0.023508323,0.019170947
eri,ELEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
esh,ELEC,0.05722501,0,0.015227736,0.049666988,0.025844953,0.104248543,0,0,0,0.042543339,0.017182396,0.045323296,0.104943526,0,0.042816366,0,0,0,0.035576886,0.010896456,0.016555663,0.086873782,0.345075061
esp,ELEC,0.036404945,0.011334385,0.031226916,0.087294989,0.091345149,0.145619856,0.001221854,0.006071021,0.006538566,0.063698722,0.035235255,0.070109067,0.17003141,0.004707669,0.070132299,0,0,0,0.043005202,0.007654105,0.011629357,0.075848364,0.030890868
est,ELEC,0.006741438,0.013412346,0.03780373,0.091446159,0.109693098,0.149155429,0.005590129,0.007184191,0.007737465,0.072394565,0.042656286,0.077311944,0.198052015,0.000871972,0.082990381,0,0,0,0.033623421,0.001417485,0.002153673,0.047986819,0.011777455
eth,ELEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fin,ELEC,0.008257596,0.005468241,0.069487854,0.161005076,0.259138549,0.089060064,0.00309203,0.002928926,0.003154491,0.029967934,0.078407441,0.065987456,0.081223651,0.001067738,0.033835272,0,0,0,0.069337108,0.001736151,0.002637843,0.025897649,0.00830893
fji,ELEC,0.112510441,0,0.008811603,0.062466609,0.040389182,0.076954734,0.009824869,0,0,0.009231715,0.009942677,0.024602505,0.009759551,0.014548764,0,0,0,0,0.064664957,0.023657289,0.035943986,0.12932236,0.367368759
flk,ELEC,0.008212174,0.000284677,0.090168642,0.206018676,0.356632597,0.049180888,0.000262751,0.00015248,0.000164223,0.002197775,0.101742857,0.058425965,0.004901394,0.001061919,0.001760534,0,0,0,0.092132898,0.001726455,0.00262311,0.010291905,0.012058082
fra,ELEC,0.028910755,0.00769772,0.043784232,0.111656684,0.151651192,0.111912315,0.002659313,0.004122442,0.004439922,0.043602866,0.049404456,0.062324239,0.115834503,0.003738039,0.047627594,0,0,0,0.053372432,0.006078515,0.009235466,0.056323009,0.085624307
fro,ELEC,0.005171447,0.00514434,0.072405894,0.166307605,0.271519587,0.085311872,0.000842226,0.002755449,0.002967654,0.0279789,0.08170004,0.06599878,0.076186401,0.00066873,0.031830625,0,0,0,0.070816272,0.001087286,0.001651981,0.02137721,0.008277704
fsm,ELEC,0.112510349,0,0.008815752,0.062464664,0.040395438,0.076952143,0.009828257,0,0,0.009236063,0.009947358,0.024595782,0.009764146,0.014539816,0,0,0,0,0.064663219,0.023655957,0.035941969,0.129322248,0.367366839
gab,ELEC,0,0,0.073124846,0.1645123,0.289624621,0.033356852,0,0,0,0,0.082511273,0.045346348,0,0,0,0,0,0,0.071529095,0,0,0,0.239994666
gbr,ELEC,0.005171447,0.00514434,0.072405894,0.166307605,0.271519587,0.085311872,0.000842226,0.002755449,0.002967654,0.0279789,0.08170004,0.06599878,0.076186401,0.00066873,0.031830625,0,0,0,0.070816272,0.001087286,0.001651981,0.02137721,0.008277704
geo,ELEC,0.022516583,0,0.0839399,0.197348634,0.333521059,0.052904452,0,0,0,0.001848244,0.094714579,0.055878623,0.001953919,0.00291189,0,0,0,0,0.09330905,0.004734244,0.007193032,0.025881131,0.021344659
gha,ELEC,0.164011206,0,0.013082801,0.090990422,0.058447993,0.112677787,0,0,0,0.013706552,0.014762133,0.035798932,0.014490241,0.02089492,0,0,0,0,0.094104541,0.034653067,0.052650562,0.188518638,0.091210206
gib,ELEC,0.036404953,0.011334452,0.031226961,0.087295012,0.091345195,0.145619797,0.001221812,0.006071048,0.006538596,0.063698767,0.035235312,0.070108993,0.170031381,0.004707582,0.070132149,0,0,0,0.043005274,0.00765409,0.011629334,0.07584823,0.030891062
gin,ELEC,0.055602868,0.006579901,0.01109245,0.047894667,0.026779522,0.103649605,0.009074061,0.003516106,0.003786891,0.039816186,0.012516297,0.042206903,0.101689175,0.007194359,0.040704472,0,0,0,0.035226361,0.011677763,0.01774275,0.083627923,0.339621739
glp,ELEC,0.064308292,0,0.006515129,0.039023608,0.028937745,0.044654821,0,0,0,0.005278956,0.007351422,0.014975696,0.005580787,0.008315543,0,0,0,0,0.038402766,0.013520684,0.020542816,0.073917583,0.628674153
gmb,ELEC,0.098829817,0.001438661,0.009369335,0.05893632,0.037601867,0.08197296,0.003548596,0.000766631,0.000825671,0.015796947,0.010571999,0.028254928,0.029703092,0.012779875,0.00887889,0,0,0,0.057670017,0.020778115,0.03156948,0.117902419,0.372804378
gnb,ELEC,0.055556835,0.006598761,0.011136436,0.047855299,0.026818145,0.103570871,0.009083753,0.003546691,0.003819832,0.039820791,0.01256593,0.042188323,0.101701364,0.007166735,0.040714252,0,0,0,0.035231458,0.011690169,0.0177616,0.083586226,0.33958653
gnq,ELEC,0.05554275,0.006634794,0.011078252,0.047886443,0.026862226,0.103645688,0.009112969,0.003515955,0.003786729,0.039809689,0.012500277,0.042169358,0.101717467,0.007146519,0.040695458,0,0,0,0.035220869,0.01167781,0.017742822,0.083614283,0.339639644
grc,ELEC,0.026828055,0.011561352,0.032786593,0.087239586,0.096371934,0.142282389,0.007944287,0.006192498,0.006669399,0.064128244,0.036995137,0.070339957,0.172541219,0.003469113,0.071536447,0,0,0,0.039647007,0.005640573,0.008570073,0.065520899,0.043735238
grd,ELEC,0.064308156,0,0.006515354,0.039023293,0.028937925,0.044654762,0,0,0,0.005279259,0.007351676,0.014974531,0.005581107,0.00831537,0,0,0,0,0.038402757,0.013520729,0.020542883,0.073917423,0.628674776
grl,ELEC,0,0,0,0,0,0,0.006282557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993717443
gtm,ELEC,0.107527393,0.00324689,0.011745602,0.068098419,0.04198854,0.105929196,0,0.001739397,0.001873352,0.026219084,0.013253289,0.038330423,0.057136807,0.013904536,0.020091019,0,0,0,0.063420608,0.02260746,0.034348919,0.133336182,0.235202883
guf,ELEC,0.064215865,0,0.007077913,0.038625675,0.029144194,0.044873687,0,0,0,0.004836109,0.007986447,0.014769416,0.00511262,0.008126018,0,0,0,0,0.038222386,0.013377461,0.020325207,0.073811342,0.629495658
gum,ELEC,0.112510349,0,0.008815752,0.062464664,0.040395438,0.076952143,0.009828257,0,0,0.009236063,0.009947358,0.024595782,0.009764146,0.014539816,0,0,0,0,0.064663219,0.023655957,0.035941969,0.129322248,0.367366839
guy,ELEC,0.064267984,0,0.00653091,0.039026222,0.028941876,0.044587045,0,0,0,0.005237888,0.007369229,0.015081495,0.005537371,0.008325381,0,0,0,0,0.038389265,0.013560626,0.020603502,0.073871246,0.628669962
hkg,ELEC,0.004446552,0.017597061,0.021058396,0.054112589,0.030679339,0.179811767,0.008570834,0.00942542,0.010151299,0.09461928,0.02376149,0.082987497,0.259458626,0.000574981,0.108881822,0,0,0,0.014011229,0.000934882,0.001420424,0.057902166,0.019594347
hnd,ELEC,0.146721707,0,0.011497891,0.081447453,0.052676998,0.100345406,0.007697083,0,0,0.012046079,0.012973781,0.032078557,0.012734828,0.018974259,0,0,0,0,0.08432087,0.030848822,0.046870534,0.168645644,0.180120089
hrv,ELEC,0.048339519,0.002672258,0.060357481,0.154852869,0.233346447,0.084287178,0.001636012,0.001431232,0.001541455,0.018281595,0.068105075,0.056150925,0.043537825,0.006250859,0.016534845,0,0,0,0.081770343,0.010163321,0.015441764,0.063579551,0.031719449
hti,ELEC,0.043046583,0,0.003365269,0.023894009,0.015453933,0.029438392,0,0,0,0.003525716,0.003797241,0.009411642,0.003727303,0.005563767,0,0,0,0,0.024735354,0.009046732,0.013745263,0.04947883,0.761769965
hun,ELEC,0.023049057,0.005674286,0.061712458,0.149180498,0.22844883,0.097058273,0.000971605,0.003039473,0.003273552,0.032285204,0.069633976,0.064491523,0.085540904,0.00298048,0.035110028,0,0,0,0.068997657,0.004846024,0.007362865,0.043516218,0.012827089
idn,ELEC,0.012613364,0.003549752,0.068808751,0.160577289,0.262432752,0.07333277,0.00596496,0.001901336,0.002047763,0.020048835,0.077641169,0.058769431,0.053360245,0.001633301,0.021964088,0,0,0,0.071802035,0.002651423,0.004028471,0.025146421,0.071725843
ind,ELEC,0.007394861,0.016348831,0.025970139,0.065919157,0.054029101,0.17209617,0.007733809,0.008756725,0.009431106,0.088175485,0.029303711,0.081627825,0.241337449,0.000956164,0.101158515,0,0,0,0.020907457,0.001554732,0.002362202,0.057546326,0.007390236
irl,ELEC,0.029188118,0.004563973,0.062413257,0.15276408,0.23486371,0.090799175,0.001731277,0.002444578,0.002632842,0.026841722,0.070424743,0.061605038,0.069725626,0.003774303,0.028239449,0,0,0,0.073295918,0.00613695,0.00932425,0.04724157,0.021989422
irn,ELEC,0.023479985,0,0.080923748,0.190927685,0.321621638,0.052152184,0.000227292,0,0,0.001927274,0.091311266,0.054171958,0.002037468,0.003037351,0,0,0,0,0.09083856,0.004936701,0.007500637,0.026988488,0.047917767
irq,ELEC,0.164154153,0,0.012858745,0.091132787,0.058933046,0.112265038,0,0,0,0.013471814,0.014509317,0.035888645,0.014242082,0.021223291,0,0,0,0,0.094338905,0.034511242,0.052435075,0.188682937,0.091352922
isl,ELEC,0,0,0,0,0,0,0.006282557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993717443
isr,ELEC,0.05514983,0.011312698,0.017453028,0.063408782,0.037777563,0.151275591,0.001204432,0.006059398,0.006526049,0.065120674,0.019693329,0.064669919,0.171336856,0.007131486,0.069997066,0,0,0,0.038881897,0.011595233,0.017617359,0.097328703,0.086460107
ita,ELEC,0.052036069,0.001804156,0.060767077,0.15692542,0.237760194,0.07861553,0.000714893,0.000966351,0.001040772,0.013935049,0.068567244,0.05362083,0.031077457,0.006728806,0.011163216,0,0,0,0.084446189,0.010940543,0.016622647,0.065224021,0.047043536
jam,ELEC,0.154268704,0,0.01208735,0.085645729,0.055390423,0.105505608,0.007898069,0,0,0.012663642,0.013638904,0.033727862,0.013387701,0.019948578,0,0,0,0,0.088660182,0.032434829,0.049280255,0.17732035,0.138141814
jor,ELEC,0.130255864,0,0.028533226,0.113539801,0.119348788,0.097447657,0,0,0,0.010692519,0.032195803,0.039842584,0.011303878,0.016843524,0,0,0,0,0.092783884,0.02738612,0.041609437,0.149719374,0.088497543
jpn,ELEC,0.01886436,0.004953334,0.065177392,0.155181569,0.244135542,0.089071487,0.006104091,0.002653124,0.002857449,0.028079722,0.073543682,0.063094071,0.074562255,0.002439351,0.03064863,0,0,0,0.070662551,0.003966219,0.006026123,0.03654314,0.021435908
kaz,ELEC,0.005932661,0.010965836,0.048488779,0.114481017,0.159378049,0.130124866,0.00912203,0.005865796,0.006317537,0.059155842,0.054712886,0.074127141,0.161757041,0.000759802,0.067777577,0,0,0,0.044909081,0.001243351,0.001889101,0.039683974,0.003307633
ken,ELEC,0.115583609,0,0.009057045,0.064166466,0.041504072,0.079055373,0.007176853,0,0,0.00948886,0.010219624,0.025272253,0.010031397,0.014947446,0,0,0,0,0.066425454,0.024303437,0.036925724,0.132854725,0.352987663
kgz,ELEC,0,0.004351826,0.077828451,0.176309143,0.29509923,0.076929162,0.010073188,0.002332862,0.002512522,0.023328621,0.087818652,0.065376891,0.064102154,0,0.026941001,0,0,0,0.073932772,0,0,0.013063525,0
khm,ELEC,0.015059705,0.00592712,0.050934008,0.121978593,0.184610385,0.089362784,0.009471725,0.003174504,0.003418982,0.032983105,0.05747199,0.057442116,0.088568216,0.001947419,0.036674275,0,0,0,0.054349525,0.003166074,0.004810413,0.035090776,0.143558287
kir,ELEC,0.112510349,0,0.008815752,0.062464664,0.040395438,0.076952143,0.009828257,0,0,0.009236063,0.009947358,0.024595782,0.009764146,0.014539816,0,0,0,0,0.064663219,0.023655957,0.035941969,0.129322248,0.367366839
kna,ELEC,0.064308071,0,0.00651527,0.039021962,0.028937794,0.044658042,0,0,0,0.005279255,0.007351581,0.014977109,0.005581103,0.008314747,0,0,0,0,0.038402114,0.013520591,0.020542674,0.073917323,0.628672365
kor,ELEC,0.036247618,0.009342707,0.039474662,0.105215009,0.129991606,0.13034334,0.007897015,0.005004188,0.005389574,0.053017267,0.044541705,0.067366889,0.140693359,0.004687165,0.05780791,0,0,0,0.051989008,0.007620983,0.011579033,0.069691974,0.022098989
kwt,ELEC,0.095932001,0,0.045324125,0.138302776,0.184170249,0.082863951,0,0,0,0.007874866,0.051142012,0.044417226,0.008325122,0.012405011,0,0,0,0,0.092108974,0.020169609,0.030644941,0.110266665,0.076052473
lao,ELEC,0.015059705,0.00592712,0.050934008,0.121978593,0.184610385,0.089362784,0.009471725,0.003174504,0.003418982,0.032983105,0.05747199,0.057442116,0.088568216,0.001947419,0.036674275,0,0,0,0.054349525,0.003166074,0.004810413,0.035090776,0.143558287
lbn,ELEC,0.115213419,0,0.01004438,0.066251208,0.045395594,0.079259603,0.006779066,0,0,0.009457698,0.011333696,0.025819836,0.009998455,0.014898342,0,0,0,0,0.067209355,0.02422352,0.036804302,0.132429214,0.344882312
lbr,ELEC,0.055571292,0.006563601,0.011089986,0.047870866,0.026837328,0.103642868,0.009072967,0.003544211,0.003817161,0.039786635,0.012513516,0.042188532,0.101709017,0.007203952,0.040702328,0,0,0,0.035219328,0.011683812,0.017751941,0.083615883,0.339614777
lby,ELEC,0.059581122,0,0.054315126,0.144799103,0.218041129,0.063421244,0,0,0,0.004886989,0.061287115,0.043809095,0.005166409,0.007707421,0,0,0,0,0.08280101,0.01252576,0.019031166,0.068484048,0.154143264
lca,ELEC,0.064308813,0,0.006515278,0.039022102,0.028936501,0.044654715,0,0,0,0.005277562,0.007351592,0.014975081,0.005579313,0.008315211,0,0,0,0,0.038404825,0.013520459,0.020542474,0.073918184,0.62867789
