iso,sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
abw,ELEC,0.008021582,0,0.088316563,0.201695939,0.350138183,0.045506615,0.000603248,0,0,0.000659612,0.099653036,0.056125717,0.000697326,0.00103575,0,0,0,0,0.090367231,0.001686853,0.002562941,0.00922021,0.043709193
afg,ELEC,0.11251975,0,0.008813981,0.062479105,0.04039928,0.076942895,0.009826249,0,0,0.009234207,0.00994536,0.024603942,0.009762184,0.014556076,0,0,0,0,0.064650228,0.023646443,0.035927509,0.129333048,0.367359744
ago,ELEC,0.092564914,0,0.007244178,0.051376166,0.033243869,0.063295156,0,0,0,0.00758956,0.008174054,0.020231013,0.008023503,0.011972581,0,0,0,0,0.053188766,0.019447146,0.029547257,0.106396457,0.487705378
alb,ELEC,0.069189533,0.004243571,0.024288,0.08207166,0.08679515,0.096280672,0.008214912,0.002272334,0.002447333,0.028410144,0.027405651,0.043508381,0.068483275,0.008946328,0.026258414,0,0,0,0.056094337,0.014546712,0.022101724,0.092257596,0.236184274
are,ELEC,0.000681083,0,0.092312703,0.207905356,0.365610219,0.042572801,0,0,0,5.59E-05,0.104162129,0.05735675,5.91E-05,8.81E-05,0,0,0,0,0.090620646,0.000143211,0.00021759,0.000782854,0.03743158
arg,ELEC,0.008212174,0.000284677,0.090168642,0.206018676,0.356632597,0.049180888,0.000262751,0.00015248,0.000164223,0.002197775,0.101742857,0.058425965,0.004901394,0.001061919,0.001760534,0,0,0,0.092132898,0.001726455,0.00262311,0.010291905,0.012058082
arm,ELEC,0,0,0.096223952,0.216445153,0.381066268,0.043916453,0,0,0,0,0.108575436,0.059666174,0,0,0,0,0,0,0.094106564,0,0,0,0
asm,ELEC,0.112510349,0,0.008815752,0.062464664,0.040395438,0.076952143,0.009828257,0,0,0.009236063,0.009947358,0.024595782,0.009764146,0.014539816,0,0,0,0,0.064663219,0.023655957,0.035941969,0.129322248,0.367366839
atg,ELEC,0.064308022,0,0.006514762,0.03902322,0.028937466,0.044656426,0,0,0,0.005279229,0.007351009,0.014974864,0.005581075,0.00831501,0,0,0,0,0.038402777,0.013521197,0.020543594,0.073917268,0.628674083
aus,ELEC,0.000587614,0.01365521,0.039365109,0.092721522,0.114960814,0.148056246,0.005621432,0.007298343,0.007860408,0.073109262,0.044418081,0.078143464,0.200894713,9.91E-05,0.084442053,0,0,0,0.03197962,0.000128917,0.000195872,0.041604338,0.014857871
aut,ELEC,0.014082114,0.004423991,0.071167469,0.166692279,0.269217545,0.083673642,0.001877483,0.00236981,0.002552316,0.024852814,0.080302659,0.063915036,0.066355378,0.001820963,0.027374101,0,0,0,0.074403918,0.002960859,0.004498617,0.029458897,0.008000111
aze,ELEC,0.099289682,0,0.045799932,0.140645231,0.186217897,0.085257304,0,0,0,0.008150547,0.051678894,0.045283189,0.008616564,0.012838996,0,0,0,0,0.0942466,0.020875574,0.031717556,0.114126075,0.055255959
bdi,ELEC,0.055578059,0.006578988,0.01108079,0.04788014,0.026805653,0.103642318,0.009075788,0.003525056,0.003796531,0.039804796,0.01250314,0.042188544,0.101697604,0.007187191,0.040712474,0,0,0,0.035230907,0.011685234,0.0177541,0.083620613,0.339652076
bel,ELEC,0.012443209,0.005488546,0.06635961,0.155561597,0.246894318,0.090538382,0.002616815,0.002939795,0.003166197,0.030419466,0.074877651,0.06483926,0.081885032,0.001609034,0.033960405,0,0,0,0.068352851,0.002616169,0.003974908,0.030768182,0.020688572
ben,ELEC,0.023022013,0,0.001774261,0.012870984,0.008431715,0.015790487,0,0,0,0.001858853,0.002002008,0.005115822,0.001965135,0.003090858,0,0,0,0,0.01323104,0.004761005,0.007233691,0.026462084,0.872390043
bfa,ELEC,0.055577985,0.006577418,0.011084038,0.047884659,0.026804329,0.103642453,0.009064051,0.003526098,0.003797653,0.039809008,0.012506804,0.042187973,0.101696002,0.007193334,0.040713882,0,0,0,0.035230441,0.011681681,0.017748705,0.083621441,0.339652046
bgd,ELEC,0.004951797,0,0.090784568,0.206086146,0.359766607,0.044643319,0.003678854,0,0,0.000406593,0.10243784,0.057135287,0.00042984,0.000640236,0,0,0,0,0.091253252,0.001041059,0.001581746,0.005691721,0.029471136
bgr,ELEC,0.005802423,0.012660253,0.04227156,0.100923588,0.129604505,0.143430752,0.002916788,0.006781192,0.007303431,0.068287475,0.047697613,0.07696514,0.186893309,0.000750369,0.0783348,0,0,0,0.037901438,0.001220045,0.001853691,0.04465021,0.003751417
bhr,ELEC,0,0,0.096223975,0.21644514,0.381066271,0.043916394,0,0,0,0,0.108575459,0.059666189,0,0,0,0,0,0,0.094106572,0,0,0,0
bhs,ELEC,0.064309273,0,0.006526049,0.039031508,0.02893544,0.044615156,0,0,0,0.005253373,0.007363744,0.014983815,0.005553741,0.008304725,0,0,0,0,0.038409191,0.013523818,0.020547576,0.073918697,0.628723896
bih,ELEC,0.006489131,0.016621095,0.024880893,0.06320429,0.048852469,0.173600747,0.009848721,0.008902559,0.00958817,0.089559616,0.028074648,0.081868922,0.245268243,0.000838919,0.10284326,0,0,0,0.019254964,0.001364333,0.002072916,0.05732214,0.009543963
blr,ELEC,0.012346032,0.000166628,0.089217017,0.205409682,0.353418176,0.050303449,0.000173705,8.91E-05,9.60E-05,0.001905299,0.100669075,0.05807459,0.003522659,0.0015961,0.001030197,0,0,0,0.093319869,0.002595758,0.003943897,0.014690184,0.007432576
blz,ELEC,0.064308598,0,0.006513004,0.039028752,0.028937939,0.044653404,0,0,0,0.005279447,0.007349025,0.014973902,0.005581306,0.008315802,0,0,0,0,0.038402404,0.013519953,0.020541703,0.073917932,0.628676827
bmu,ELEC,0.103969688,0.000495226,0.008652722,0.059002479,0.03784627,0.076045612,0,0.000265124,0.000285542,0.01118691,0.009763401,0.024991607,0.016313425,0.013444262,0.003063799,0,0,0,0.060000313,0.021859576,0.03321261,0.120991235,0.398610198
bol,ELEC,0,0,0.093990226,0.211417072,0.372210729,0.042896668,0,0,0,0,0.10605498,0.058281368,0,0,0,0,0,0,0.091920902,0,0,0,0.023228056
