em,sector,iso,sub
BC,ENE,cok,1
BC,ENE,fsm,1
BC,ENE,mhl,1
BC,ENE,niu,1
BC,ENE,plw,1
BC,ENE,sxm,1
BC,ENE,tca,1
BC,ENE,tkl,1
BC,ENE,ton,1
BC,ENE,vgb,1
BC,ENE,wlf,1
BC,IND,asm,1
BC,IND,fsm,1
BC,IND,mhl,1
BC,IND,mlt,1
BC,IND,niu,1
BC,IND,plw,1
BC,IND,pri,1
BC,IND,tkl,1
BC,IND,ton,1
BC,IND,wlf,1
BC,RCO,fsm,1
BC,RCO,mhl,1
BC,RCO,plw,1
BC,RCO,pri,1
BC,RCO,spm,1
BC,TRA,cok,1
BC,TRA,fsm,1
BC,TRA,mhl,1
BC,TRA,niu,1
BC,TRA,plw,1
BC,TRA,spm,1
BC,TRA,ton,1
BC,TRA,wlf,1
CH4,ENE,mhl,1
CH4,ENE,mlt,1
CH4,ENE,plw,1
CH4,ENE,tkl,1
CH4,ENE,wlf,1
CH4,IND,asm,1
CH4,IND,fsm,1
CH4,IND,mhl,1
CH4,IND,mlt,1
CH4,IND,niu,1
CH4,IND,plw,1
CH4,IND,pri,1
CH4,IND,tkl,1
CH4,IND,ton,1
CH4,IND,wlf,1
CH4,RCO,fsm,1
CH4,RCO,mhl,1
CH4,RCO,plw,1
CH4,RCO,pri,1
CH4,RCO,spm,1
CH4,TRA,cok,1
CH4,TRA,fsm,1
CH4,TRA,mhl,1
CH4,TRA,niu,1
CH4,TRA,plw,1
CH4,TRA,spm,1
CH4,TRA,ton,1
CH4,TRA,wlf,1
CO,ENE,cok,1
CO,ENE,fsm,1
CO,ENE,mhl,1
CO,ENE,niu,1
CO,ENE,plw,1
CO,ENE,sxm,1
CO,ENE,tca,1
CO,ENE,tkl,1
CO,ENE,ton,1
CO,ENE,vgb,1
CO,ENE,wlf,1
CO,ENE,bmu,1
CO,ENE,cym,1
CO,ENE,kna,1
CO,ENE,msr,1
CO,ENE,pyf,1
CO,IND,asm,1
CO,IND,fsm,1
CO,IND,mhl,1
CO,IND,mlt,1
CO,IND,niu,1
CO,IND,plw,1
CO,IND,pri,1
CO,IND,tkl,1
CO,IND,ton,1
CO,IND,wlf,1
CO,RCO,fsm,1
CO,RCO,mhl,1
CO,RCO,plw,1
CO,RCO,pri,1
CO,RCO,spm,1
CO,TRA,cok,1
CO,TRA,fsm,1
CO,TRA,mhl,1
CO,TRA,niu,1
CO,TRA,plw,1
CO,TRA,spm,1
CO,TRA,ton,1
CO,TRA,wlf,1
CO2,ENE,abw,1
CO2,ENE,cok,1
CO2,ENE,flk,1
CO2,ENE,fsm,1
CO2,ENE,gib,1
CO2,ENE,isl,1
CO2,ENE,mhl,1
CO2,ENE,niu,1
CO2,ENE,plw,1
CO2,ENE,spm,1
CO2,ENE,sxm,1
CO2,ENE,tca,1
CO2,ENE,tls,1
CO2,ENE,ton,1
CO2,ENE,vgb,1
CO2,ENE,wlf,1
CO2,ENE,fji,1
CO2,IND,fsm,1
CO2,IND,mhl,1
CO2,IND,mlt,1
CO2,IND,niu,1
CO2,IND,plw,1
CO2,IND,tca,1
CO2,IND,ton,1
CO2,IND,wlf,1
CO2,TRA,atg,1
CO2,TRA,bdi,1
CO2,TRA,ben,1
CO2,TRA,bhs,1
CO2,TRA,bmu,1
CO2,TRA,brb,1
CO2,TRA,caf,1
CO2,TRA,cok,1
CO2,TRA,com,1
CO2,TRA,cpv,1
CO2,TRA,cub,1
CO2,TRA,cym,1
CO2,TRA,dma,1
CO2,TRA,ecu,1
CO2,TRA,fji,1
CO2,TRA,flk,1
CO2,TRA,fsm,1
CO2,TRA,gin,1
CO2,TRA,glp,1
CO2,TRA,gmb,1
CO2,TRA,gnb,1
CO2,TRA,gnq,1
CO2,TRA,grd,1
CO2,TRA,guf,1
CO2,TRA,isl,1
CO2,TRA,kir,1
CO2,TRA,kna,1
CO2,TRA,lbr,1
CO2,TRA,lca,1
CO2,TRA,mdv,1
CO2,TRA,mhl,1
CO2,TRA,msr,1
CO2,TRA,mtq,1
CO2,TRA,mus,1
CO2,TRA,mys,1
CO2,TRA,ncl,1
CO2,TRA,nic,1
CO2,TRA,niu,1
CO2,TRA,per,1
CO2,TRA,phl,1
CO2,TRA,plw,1
CO2,TRA,png,1
CO2,TRA,pry,1
CO2,TRA,pyf,1
CO2,TRA,rwa,1
CO2,TRA,slb,1
CO2,TRA,stp,1
CO2,TRA,sur,1
CO2,TRA,sxm,1
CO2,TRA,syc,1
CO2,TRA,tcd,1
CO2,TRA,tha,1
CO2,TRA,tkm,1
CO2,TRA,tls,1
CO2,TRA,ton,1
CO2,TRA,vct,1
CO2,TRA,vgb,1
CO2,TRA,vut,1
CO2,TRA,wlf,1
CO2,TRA,wsm,1
CO2,RCO,fsm,1
CO2,RCO,mhl,1
CO2,RCO,niu,1
CO2,RCO,plw,1
CO2,RCO,spm,1
CO2,RCO,ton,1
CO2,RCO,wlf,1
CO2,TRA,spm,1
CO2,SLV,abw,1
CO2,SLV,btn,1
CO2,ENE,bmu,1
CO2,ENE,cym,1
CO2,ENE,kna,1
CO2,ENE,msr,1
NH3,ENE,cok,1
NH3,ENE,flk,1
NH3,ENE,fsm,1
NH3,ENE,gib,1
NH3,ENE,mhl,1
NH3,ENE,niu,1
NH3,ENE,plw,1
NH3,ENE,spm,1
NH3,ENE,sxm,1
NH3,ENE,tca,1
NH3,ENE,tkl,1
NH3,ENE,tls,1
NH3,ENE,ton,1
NH3,ENE,vgb,1
NH3,ENE,wlf,1
NH3,ENE,bmu,1
NH3,ENE,cym,1
NH3,ENE,kna,1
NH3,ENE,msr,1
NH3,ENE,pyf,1
NH3,IND,asm,1
NH3,IND,fsm,1
NH3,IND,mhl,1
NH3,IND,mlt,1
NH3,IND,niu,1
NH3,IND,plw,1
NH3,IND,pri,1
NH3,IND,tkl,1
NH3,IND,ton,1
NH3,IND,wlf,1
NH3,TRA,fsm,1
NH3,TRA,mhl,1
NH3,TRA,niu,1
NH3,TRA,plw,1
NH3,TRA,wlf,1
NH3,RCO,fsm,1
NH3,RCO,isl,1
NH3,RCO,mhl,1
NH3,RCO,mlt,1
NH3,RCO,plw,1
NH3,RCO,pri,1
NH3,RCO,spm,1
NH3,TRA,cok,1
NH3,TRA,spm,1
NH3,TRA,ton,1
NOx,ENE,cok,1
NOx,ENE,flk,1
NOx,ENE,fsm,1
NOx,ENE,gib,1
NOx,ENE,isl,1
NOx,ENE,mhl,1
NOx,ENE,niu,1
NOx,ENE,plw,1
NOx,ENE,spm,1
NOx,ENE,sxm,1
NOx,ENE,tca,1
NOx,ENE,tkl,1
NOx,ENE,tls,1
NOx,ENE,ton,1
NOx,ENE,vgb,1
NOx,ENE,wlf,1
NOx,ENE,bmu,1
NOx,ENE,cym,1
NOx,ENE,kna,1
NOx,ENE,msr,1
NOx,ENE,pyf,1
NOx,IND,asm,1
NOx,IND,fsm,1
NOx,IND,mhl,1
NOx,IND,mlt,1
NOx,IND,niu,1
NOx,IND,plw,1
NOx,IND,pri,1
NOx,IND,tkl,1
NOx,IND,ton,1
NOx,IND,wlf,1
NOx,RCO,fsm,1
NOx,RCO,mhl,1
NOx,RCO,plw,1
NOx,RCO,pri,1
NOx,RCO,spm,1
NOx,TRA,cok,1
NOx,TRA,fsm,1
NOx,TRA,mhl,1
NOx,TRA,niu,1
NOx,TRA,plw,1
NOx,TRA,spm,1
NOx,TRA,ton,1
NOx,TRA,wlf,1
NMVOC,ENE,cok,1
NMVOC,ENE,flk,1
NMVOC,ENE,fsm,1
NMVOC,ENE,gib,1
NMVOC,ENE,isl,1
NMVOC,ENE,mhl,1
NMVOC,ENE,niu,1
NMVOC,ENE,plw,1
NMVOC,ENE,spm,1
NMVOC,ENE,sxm,1
NMVOC,ENE,tca,1
NMVOC,ENE,tkl,1
NMVOC,ENE,tls,1
NMVOC,ENE,ton,1
NMVOC,ENE,vgb,1
NMVOC,ENE,wlf,1
NMVOC,IND,asm,1
NMVOC,IND,fsm,1
NMVOC,IND,mhl,1
NMVOC,IND,mlt,1
NMVOC,IND,niu,1
NMVOC,IND,plw,1
NMVOC,IND,pri,1
NMVOC,IND,tkl,1
NMVOC,IND,ton,1
NMVOC,IND,wlf,1
NMVOC,IND,mrt,1
NMVOC,RCO,fsm,1
NMVOC,RCO,mhl,1
NMVOC,RCO,plw,1
NMVOC,RCO,pri,1
NMVOC,RCO,spm,1
NMVOC,TRA,cok,1
NMVOC,TRA,fsm,1
NMVOC,TRA,mhl,1
NMVOC,TRA,niu,1
NMVOC,TRA,plw,1
NMVOC,TRA,spm,1
NMVOC,TRA,ton,1
NMVOC,TRA,wlf,1
NMVOC,SLV,abw,1
OC,ENE,cok,1
OC,ENE,fsm,1
OC,ENE,mhl,1
OC,ENE,niu,1
OC,ENE,plw,1
OC,ENE,sxm,1
OC,ENE,tca,1
OC,ENE,tkl,1
OC,ENE,ton,1
OC,ENE,vgb,1
OC,ENE,wlf,1
OC,IND,asm,1
OC,IND,fsm,1
OC,IND,mhl,1
OC,IND,mlt,1
OC,IND,niu,1
OC,IND,plw,1
OC,IND,pri,1
OC,IND,tkl,1
OC,IND,ton,1
OC,IND,wlf,1
OC,RCO,fsm,1
OC,RCO,mhl,1
OC,RCO,plw,1
OC,RCO,pri,1
OC,RCO,spm,1
OC,TRA,cok,1
OC,TRA,fsm,1
OC,TRA,mhl,1
OC,TRA,niu,1
OC,TRA,plw,1
OC,TRA,spm,1
OC,TRA,ton,1
OC,TRA,wlf,1
Sulfur,ENE,cok,1
Sulfur,ENE,fsm,1
Sulfur,ENE,mhl,1
Sulfur,ENE,niu,1
Sulfur,ENE,plw,1
Sulfur,ENE,sxm,1
Sulfur,ENE,tca,1
Sulfur,ENE,tkl,1
Sulfur,ENE,ton,1
Sulfur,ENE,vgb,1
Sulfur,ENE,wlf,1
Sulfur,ENE,atg,1
Sulfur,ENE,bhs,1
Sulfur,ENE,blz,1
Sulfur,ENE,bmu,1
Sulfur,ENE,com,1
Sulfur,ENE,cym,1
Sulfur,ENE,dma,1
Sulfur,ENE,dom,1
Sulfur,ENE,flk,1
Sulfur,ENE,glp,1
Sulfur,ENE,grd,1
Sulfur,ENE,kna,1
Sulfur,ENE,lca,1
Sulfur,ENE,msr,1
Sulfur,ENE,mtq,1
Sulfur,ENE,stp,1
Sulfur,ENE,vct,1
Sulfur,IND,asm,1
Sulfur,IND,fsm,1
Sulfur,IND,mhl,1
Sulfur,IND,mlt,1
Sulfur,IND,niu,1
Sulfur,IND,plw,1
Sulfur,IND,pri,1
Sulfur,IND,tkl,1
Sulfur,IND,ton,1
Sulfur,IND,wlf,1
Sulfur,IND,are,1
Sulfur,IND,omn,1
Sulfur,RCO,fsm,1
Sulfur,RCO,mhl,1
Sulfur,RCO,plw,1
Sulfur,RCO,pri,1
Sulfur,RCO,spm,1
Sulfur,TRA,cok,1
Sulfur,TRA,fsm,1
Sulfur,TRA,mhl,1
Sulfur,TRA,niu,1
Sulfur,TRA,plw,1
Sulfur,TRA,spm,1
Sulfur,TRA,ton,1
Sulfur,TRA,wlf,1
