em,ratio_em,sector,ratio_file
XX,H2,AWB,H2-CO-ratio-AGRI-em-biomassburning.nc
XX,H2,FRTB,H2-CO-ratio-FRTB-em-biomassburning.nc
XX,H2,GRSB,H2-CO-ratio-SAVA-em-biomassburning.nc
XX,H2,PEAT,H2-CO-ratio-PEAT-em-biomassburning.nc
